ジャンクフード	maldja (mabla-cidja)
常識	kaurselju'o (kampu-se-djuno)
各駅停車の列車、鈍行	rolstire'e (ro-sisti-trene)
ザラザラ	rufsfe (rufsu-sefta)
デコボコ	bonsfe (boxna-sefta)
運動不足	dorkytcu (dorke-nitcu)
トイレットペーパー	vimku'aple (vikmi-kumfa-pelji)
売春	gleve'u (gletu-vecnu)
コンビニ	filzai (frili-zarci)
煮詰める 	campla (carmi-platu)
すきま風	luzbi'e (kluza-brife)
歯並び	denpoi (denci-porsi)
サボる	rivycri (rivbi-cirko)
カンニング	mipyzgaspu (mipri-zgana-spuda)
道草を食う	zonvitke (zo'a-vitke)
首がすわる 	sedysrabi'o (stedu-sarji-binxo)
鳥肌	cikskapi (cikna-skapi)
靴ずれ	cucyxai (cutci-xrani)
ままごとをする	lazyzukykei (lanzu-zukte-kelci)
かっこいい	nakmle (nakni-melbi)
かわいい	dibmle (dirba-melbi)
うつくしい	melbi
きれい	nicmle (cnici-melbi)
おしゃれ	jadmle (jadni-melbi)
奏でる	zgiri'a (zgike-rinka)
桜	akra [jpn: sakura], pru'unu [lat: prunus]
鯨	etke'a [lat: cetacea]
帰る	xrukla (xruti-klama)
アニメ	kinlisxra (skina-lisri-pixra), anme [jpn: anime]
漫画	lisxra (lisri-pixra), anga [jpn: manga]
４コマ漫画	vonreklisxra (vo-greku-lisri-pixra), ionkoma [jpn: yonkoma]
絵本	xracku (pixra-cukta)
紙芝居	pledraci (pelji-draci)
オーディオドラマ	snadraci (sance-draci)
ドラマ	tivdraci (tivni-draci)
映画	kindraci (skina-draci)
特撮	tickindraci (tcica-skina-draci)
小説	lerlisri (lerfu-lisri)
点字	mocle'u (mokca-lerfu)
表音文字	snale'u (sance-lerfu)
表意文字	smule'u (smuni-lerfu)
表語文字	vlale'u (valsi-lerfu)
音素文字	snaslele'u (sance-selci-lerfu)
音節文字	slakyle'u (slaka-lerfu)
アブギダ	abgida, zunsnacmule'u (zunti-sance-jicmu-lerfu)
アブジャド	abjadi, voksnacaule'u (voksa-sance-claxu-lerfu)
母音	voksna (voksa-sance)
子音	zunsna (zunti-sance)
文字体系	lerci'e (lerfu-ciste)
フィーチュラルスクリプト（計画文字？）	selplale'u (se-platu-lerfu)
アルファベット	alfabeta
漢字	anji
ハングル	xangulu
ひらがな	xirgana
カタカナ	katkana
強勢アクセント	laurselbasna (cladu-se-basna)
高低アクセント	togyselbasna (tonga-se-basna)
声調	valtogmo'a (valsi-tonga-morna)
イントネーション	juftogmo'a (jufra-tonga-morna)
尊い	selsi'a (se-sinma)
思いやり	ka pesku'i (ka-pensi-kurji)
竹	bambu [exp. gismu], ba'ambu [fu'ivla]
駱駝	(kumt-r-)kamlsu [lat: Camelus]
アルパカ	(kumt-r-x-)alpaka, tcokumte (ketco-kumte)
ハシビロコウ	(cpi-r-)balnkpi [lat: Balaeniceps]
ウーパールーパー	(banf-r-x-)axlte [spa: ajolote]
エリマキトカゲ	plonebrespa (polje-cnebo-respa)
哲学	pijyske (prije-saske)
美術	vislarske (viska-larcu-saske)
芸術	larske (larcu-saske)
ひょうきん	xamxalbo (xajmi-xalbo)
火花	fagyspi (fagri-spisa)
腰	befcidni (betfu cidni)
丹田	tantna [zho: dantian, jpn: tanden]
鳩尾	befmebri (betfu mebri)
ワサビ	uazbi
南京錠	krostela (korcu-stela)
迷子	lo lutcri (pluta-cirko)
彷徨う	kaskla (kalsa-klama)
じゃんけん	djankne [jpn: djanken], rokplejincykei (rokci-pelji-jinci-kelci)
決め台詞	tecyselcu'u (steci-se-cusku, 或る者や状況に特有の台詞), mulselcu'u (mulno-se-cusku, 物事の完成を象徴する台詞)
政権	trubai (turni-bapli)
政権交代	trubainuncne (turni-bapli-nu-cenba)
苗字	lazme'e (lanzu-cmene)
眼鏡	lacni, kaldadle'o (kanla-dandu-lenjo)
コンタクトレンズ	niplacni (snipa-lacni), kalniple'o (kanla-snipa-lenjo)
ゲシュタルト崩壊	nu mentai porpi / nu gectlta porpi
過労死	dusygunmro (dukse-gunka-morsi)
化合物	xumxre (xukmi-mixre)
酸化物	kijyxre (kijno-mixre), kijyxumxre (kijno-xukmi-mixre)
酵素	menza, enzima
酸化酵素	kijymenza (kijno-menza), kijrxenzima (kij-enzima)
活性酸素	frakijno
酵素の不活化	nu co'u frakijno
お爺さん	[lo] io laldynau (laldo-nanmu)
お婆さん	[lo] io laldyni'u (laldo-ninmu)
泥棒	zerle'a (zekri-lebna)
紫外線	zirbacygu'i (zirpu-bacru-gusni), zirbargu'i (zirpu-bartu-gusni)
赤外線	xunbacygu'i (zirpu-bacru-gusni), xunbargu'i (xunre-bartu-gusni)
アース（電気的接地）	nundictumjo'e (nu-dikca-tumla-jorne)
どら焼き	dra,iaki
クレープ（食品）	kre'epe
発電所	dicprastu (dikca-cupra-stuzi)
ロボット	zukmi'i (zukte-minji)
人工知能	runji'i (rutni-jinvi)
風鈴	bifyjanbe (brife-janbe)
台風	taifnu
面倒くさい	mukcau (mukti-claxu) = 動機が感じられない, lujra'u (pluja-raktu) = 複雑で煩わしい, rucydu'e (pruce-dukse) = 手間が多過ぎる
交番	puljyginka (pulji-ginka)
駐車する	ma'ersrogau (marce-sorcu-gasnu)
カレー（料理）	djarkari (cidja-kari)
ラーメン	djanrame (cidja-rame)
縦書き	rajyci'a (sraji-ciska)
横書き	pinci'a (pinta-ciska)
回文	fatmityju'a (fatne-mintu-jufra)
ソプラノ	spro'ano (soprano)
アルト	alto (alto)
テノール／テナー	te'onre (tenore)
バス（音楽）	vokrbasa (bass)
バス（交通）	basfa, sorprekarce (so'i-prenu-karce)
路線バス	dikybasfa (dikni-basfa)
観光バス	vinbasfa (jvinu-basfa)
送迎バス	cmibasfa (cmima-basfa)
バス（情報）	datnylu'a (datni-pluta)
モノレール（交通）	pavgaryre'e (pa-garna-trene)
索道／ロープウェイ／リフト	skoma'e (skori-marce)
鋼索鉄道／ケーブルカー	sa'oskoma'e (salpo-skori-marce), ma'askoma'e (cmana-skori-marce)
コンデンサ（電気）	dicpruni (dikca-pruni)
ダイオード	dicfartci (dikca-farna-tutci)
半導体	xabyseldikca (xadba-se-dikca)
アンテナ	bonbe'itci (boxna-benji-tutci), [dicmakybon+]di'etci (dikca-makfa-boxna-dirce-tutci), antena
CPU	cmudiclu'a (jicmu-dikca-pluta)
眼鏡	↑
サングラス	solylacni (solri-lacni)
ゴーグル	badlacni (bandu-lacni)
補聴器	tinydjutci (tirna-sidju-tutci)
魔方陣	simsujykurfa (simxu-sumji-kurfa)
ボランティア	nemcaugu'a (cnemu-claxu-gunka)
筋トレ	zumsluzenri'a (zu'o-sluji-zenba-rinka)
自慰	sezgle (sevzi-gletu)
暴走族	vilbajbe'e (vlile-bajra-bende)
ニート	jibycauxalbo (jibri-claxu-xalbo)
カルト団体	capyjda (ckape-lijda)
飛び降り自殺	falsezycatra (farlu-sevzi-catra)
恩師	si'actu (sinma-ctuca)
たしなむ	neifri (nelci-lifri)
靴下	jmasmo (jamfu-smoka)
ドロワーズ	dro'ozo
タンクトップ	bircaucreka (birka-claxu-creka)
社会人	(lo) jikca
シンガーソングライター	zgifinsa'a (zgike-finti-sanga)
下痢	likykalci (litki-kalci)
水ぶくれ	kaplikpunli (skapi-litki-punli)
ねんざ	toncidyxai (torni-cidni-xrani)
屁（をひる）	gacyvi'i (gapci-vikmi)
ホームセンター	zdatcizai (zdani-tutci-zarci)
コンビニエンスストア	↑
スーパー（量販店）	balzai (banli-zarci)
口笛	molflani (moklu-flani)
ショック死	jenmro (jenca-morsi)
即興の曲	nutyzgi (snuti-zgike)
