うってかわって	si'anai
仮にそうだとして	fau ra da'i
かんべんしてよ。	.oi .a'enai
少しずつ	na'e suksa
しょうがない	na zifre
もったいない	na mulpli
まずまず	no'e xamgu
電池が切れる	mo'u dicysro xaksu / lo dicysro mo'u se xaksu
見よう見まねで imit-ante ali-ulojn	zgana ce'o zukfu'i
歯が生える	denci jbena
空気を読む	zgana lo (cu'ur)vanbi
先を読む	zgana lo balvi
いただきます	ba'a ro'a/u'a [予定感-身体感/獲得感] + ki'e (感謝)
ごちそうさま	uo ro'a/u'a [完了感-身体感/獲得感]
おはようございます	cerni i'i [朝-連帯感] + io (敬)
ただいま（挨拶）	xruti ju'i
おかえりなさい（挨拶）	xruti je'e
上から下へ	ga'u bi'o ni'a
向かって右から左へ	ma'i ri'u bi'o zu'a
奇しくも	sei cizra / u'e
よろしくお願いします（初対面）	(pe'u) io co'a simxu
よろしく（依頼）	pe'u
～さんによろしく	pe'u la ～ sanji　[ ～さんが（私の事柄について）認知するように、（あなたに）頼みます]
取り急ぎ～	to'u ～
こらっ	oi / i'enai
できるだけ～	toiclu ～ / serai lo kamka'e (cu) ～
罰（ばち）が当たる	lo velsfa cu dimna / sfadimna
虫の知らせがある	se'o zei xanka
行方不明	selcri (se-cirko), klaselcri (klama-se-cirko)
痛々しい	
安楽死させる	
自殺幇助	
右往左往する（比喩的に）	
怒髪天を衝く	
仏の顔も三度まで	
鬼の目にも涙	
私は私	
他人は他人	
楽あれば苦あり	
苦あれば楽あり	
