bacru	gismu   	-ba'u-		      	x_1 äußert/drückt mündlich aus/sagt/spricht [erzeugt Laut] x_2
badna	gismu			      	x_1 ist eine Banane/Kochbanane [Frucht/Pflanze] der Art/Sorte x_2	Siehe auch {grute}
badri	gismu   	-dri-		      	x_1 ist traurig/bedrückt/depremiert/[unglücklich/empfindet (tiefe) Trauer] über x_2 (Abstraktion)	Siehe auch {klaku}, {gleki}, {betri}, {cinmo}, {junri}, {uinai}.
bajra	gismu   	-baj-		      	x_1 rennt/läuft auf der Oberfläche x_2 mit den Gliedmaßen x_3 in der Gangart x_4.	Siehe auch {cadzu}, {klama}, {litru}, {stapa}, {plipe}, {cpare}.
bakfu	gismu   	-baf-		      	x_1 ist ein Bündel/Paket/Packen mit dem Inhalt x_2, zusammengehalten von x_3	Siehe auch {daski}, {dakli}, {tanxe}.
bakni	gismu   	-bak-		      	x_1 ist ein Rind/Kuh/Ochse[/Bulle/Stier/Kalb] [Nutzrind/Fleischrind] Art/Gattung x_2	Siehe auch {danlu}.
bakri	gismu			      	x_1 ist eine gewisse Menge/enthält/besteht aus Kreide von Quelle x_2 in Form x_3
baktu	gismu			      	x_1 ist ein Eimer/eine Dose/ein tiefer, fester Behälter mit breitem Rand mit Inhalt x_2, bestehend aus Material x_3
balji	gismu			      	x_1 ist eine Knolle/Zwiebel [Körperteil] von Pflanze/Art x_2; [im übertragenen Sinne: gerundet, ausgebeult]
balni	gismu			      	x_1 ist ein Balkon/Überhang/Sims/Regal von Gebäude/Struktur x_2
balre	gismu   	-ba'e-		      	x_1 ist die Klinge des Werkzeugs/der Waffe x_2	See also {dakfu}, {tunta}, {tutci}, {guska}, {kinli}, {katna}.
balvi	gismu   	-bav-		      	x_1 liegt in der Zukunft von/ist später als/nach x_2 in zeitlicher Reihenfolge; x_1 ist später; x_2 ist früher/ehemalig
bancu	gismu   	-bac-		      	x_1 übertrifft/übersteigt Grenze x_2 mit Bezugspunkt x_3 in Eigenschaft/Menge x_4 (ka/ni)
bandu	gismu   	-bad-		      	x_1 (Ereignis) verteidigt/schützt x_2 (Objekt/Zustand) gegen Bedrohung/Gefahr/Möglichkeit x_3 (Ereignis)
banfi	gismu			      	x_1 ist eine Amphibie von Art/Gattung x_2
bangu	gismu   	-ban-   	-bau-	      	x_1 ist eine/die Sprache/ein Dialekt, die/den x_2 benutzt, um x_3 auszudrücken (si'o/du'u, kein Zitat)
banli	gismu   	-bal-   	-ba'i-	      	x_1 ist großartig/eindrucksvoll/erhaben in Eigenschaft x_2 (ka) gemäß Standard x_3
banro	gismu   	-ba'o-		      	x_1 wächst/expandiert/wird größer bis zu Größe/Form x_2 aus x_3 heraus
banxa	gismu   	-bax-		      	x_1 ist eine Bank im Banksystem/im Besitz von x_2 für Bankfunktion(en) x_3 (Ereignis)
banzu	gismu   	-baz-		      	x_1 (Objekt) genügt/reicht/ist genug/ausreichend für Zweck x_2 unter Bedingungen x_3.	Siehe auch {dukse}, {claxu}, {nitcu}, {ricfu}, {curmi}.
