a'a	cmavo			   	UI1      	Perspektivum: Aufmerksamkeit - Unaufmerksamkeit - Ausweichen (z.B. einer Diskussion)
ai	cmavo			   	UI1      	Perspektivum: Absicht/Vorsatz - Unschlüssigkeit - Ablehnung
a'i	cmavo			   	UI1      	Perspektivum: Aufwand/Mühe - Mühelosigkeit - Untätigkeit/Muße
a'o	cmavo			   	UI1      	Perspektivum: Hoffnung - Verzweiflung
au	cmavo			   	UI1      	Perspektivum: Begehren/Sehnsucht - Gleichgültigkeit - Abneigung/Widerwille
a'u	cmavo			   	UI1      	Perspektivum: Interesse - Desinteresse - Abscheu
bi	cmavo   	-biv-		   	PA1      	Zahl/Ziffer: 8 [Acht].
bi'i	cmavo   	-biz-		      		nicht-logischer Intervallverbinder: ungeordnet zwischen ... und ... (rafsi repräsentiert ein beliebiges Intervall)
bo	cmavo   	-bor-		      		Verbindung kurzer Reichweite; verbindet verschiedene Konstrukte mit kürzestmöglicher Reichweite und rechts-assoziativer Gruppierung
bu	cmavo   	-bus-   	-bu'i-	      		verwandelt ein beliebiges einzelnes Wort in BY
bu'a	cmavo   	-bul-		      		logisch quantifizierte Prädikatvariable: irgendein selbri 1
ca'a	cmavo   	-caz-		      		Modalaspekt: Wirklichkeit/fortdauerndes Ereignis
ce	cmavo   	-cec-		      		nichtlogische Verbindung: Mengenverbinder, ungeordnet; „und außerdem“, aber eine Menge bildend
ce'i	cmavo   	-cez-		      		Zahl/Ziffer: %, Prozentzeichen, Hundertstel
ce'o	cmavo   	-ce'o-		      		nichtlogische Verbindung: verbindet geordnete Folgen; „und dann“, eine Folge bildend
ci	cmavo   	-cib-		   	PA1      	Zahl/Ziffer: 3 [Drei]
co	cmavo   	-col-		      		Tanruumstellungsoperator; „... vom Typ ...“; erlaubt nachfolgende, modifizierende Sumti ohne Sumti-Verbindungen
co'a	cmavo   	-co'a-		      		Intervall-Ereignisumriss: am Anfang von ...; anfänglich
co'e	cmavo   	-com-   	-co'e-	      		unspezifizierte Bridi-Beziehung
coi	cmavo			   	COI      	Vokativ: Hallo
co'o	cmavo			   	COI      	Vokativ: Tschüss
co'u	cmavo   	-co'u-		      		Intervall-Ereignisumriss: am Schlusspunkt von … selbst, wenn noch nicht fertig; beendend | >< |
da	cmavo   	-dav-   	-dza-	      		logisch quantifiziertes existenzielles Prosumti: es gibt etwas 1 (normalerweise eingeschränkt)
da'a	cmavo   	-daz-		      		Ziffer/Zahl: alle außer n; alle bis auf n; (Default 1)
do	cmavo   	-don-   	-doi-	   	KOhA3      	prosumti: Du/ihr die Zuhörer; Definiert durch doi.
du	cmavo   	-dub-   	-du'o-	      		Identitäts-Selbri; Gleichheitszeichen '='; x_1 ist identisch mit x_2, x_3, usw.; anschließende Sumti beziehen sich alle auf dasselbe
du'u	cmavo   	-dum-		      		Abstraktor: Prädikations-/Bridi-Abstraktor; x_1 ist die Prädikation [das Bridi], die in Satz x_2 ausgedrückt wird
fau'u	experimental cmavo			   	COI      	Verzeihung!/Verzeihen Sie bitte!/Verzeih mir bitte!	Vgl. {fraxu}, {u'u}.
fo'a	cmavo   	-fo'a-		      		pro-sumti: er/sie/es #6 (durch goi spezifiziert)
fo'e	cmavo   	-fo'e-		      		pro-sumti: er/sie/es #7 (durch goi spezifiziert)
fo'i	cmavo   	-fo'i-		      		pro-sumti: er/sie/es #8 (durch goi spezifiziert)
ja	cmavo   	-jav-		      		logische Verknüpfung: Tanru-internes nachgestelltes 'oder'
je	cmavo   	-jev-   	-jve-	      		logische Verknüpfung: Tanru-internes nachgestelltes 'und'
jei	cmavo   	-jez-		      		Abstraktion: Wahrheitswert; x_1 ist der Wahrheitswert von [bridi] gemäß Metaphysik x_2
jo	cmavo   	-jov-		      		logische Verknüpfung: Tanru-internes nachgestelltes wenn-und-nur-wenn [genau-dann-wenn]
jo'e	cmavo   	-jom-		      		nicht-logische Verknüpfung: Vereinigung von Mengen
joi	cmavo   	-jol-   	-joi-	      		nicht-logische Verknüpfung: vermischte Verbindung; „und“ mit der Bedeutung „zusammengemischt“, eine Masse formend
