backi	experimental gismu			      	x_1 is characterized by x_2 (ka) emphasized by x_3	Used for emphasizing a trait on x1. For example "He is a complete idiot" where "complete" is emphasizing, but not really modifying "idiot".
bacru	gismu   	-ba'u-		      	x_1 utters verbally/says/phonates/speaks [vocally makes sound] x_2.	Also voices; does not necessarily imply communication or audience; ('says' is usually {cusku}).  See also {krixa}, {cusku}, {casnu}, {tavla}, {voksa}, {pinka}.
badna	gismu			      	x_1 is a banana/plantain [fruit/plant] of species/breed x_2.	See also {grute}.
badri	gismu   	-dri-		      	x_1 is sad/depressed/dejected/[unhappy/feels sorrow/grief] about x_2 (abstraction).	See also {klaku}, {gleki}, {betri}, {cinmo}, {junri}.
bajra	gismu   	-baj-		      	x_1 runs on surface x_2 using limbs x_3 with gait x_4.	See also {cadzu}, {klama}, {litru}, {stapa}, {plipe}, {cpare}.
bakfu	gismu   	-baf-		      	x_1 is a bundle/package/cluster/clump/pack [shape/form] containing x_2, held together by x_3.	See also {daski}, {dakli}, {tanxe}.
bakni	gismu   	-bak-		      	x_1 is a cow/cattle/kine/ox/[bull/steer/calf] [beef-producer/bovine] of species/breed x_2.	See also {danlu}.
bakri	gismu			      	x_1 is a quantity of/contains/is made of chalk from source x_2 in form x_3.	See also {pinsi}, {blabi}, {jilka}.
baktu	gismu			      	x_1 is a bucket/pail/can/deep, solid, wide-topped container of contents x_2, made of material x_3.	See also {botpi}, {patxu}, {tansi}, {lante}, {lanka}.
balji	gismu			      	x_1 is a bulb [body-part] of plant/species x_2; [metaphor: rounded, bulgy].	See also {punli}, {batke}.
balni	gismu			      	x_1 is a balcony/overhang/ledge/shelf of building/structure x_2.	See also {kajna}.
balre	gismu   	-ba'e-		      	x_1 is a blade of tool/weapon x_2.	See also {dakfu}, {tunta}, {tutci}, {guska}, {kinli}, {katna}.
balvi	gismu   	-bav-		      	x_1 is in the future of/later than/after x_2 in time sequence; x_1 is latter; x_2 is former.	Also sequel, succeed, successor, follow, come(s) after; time ordering only (use {lidne} otherwise); aorist in that x_1 may overlap in time with x_2 as long as it extends afterwards; non-aorist future (= {cfabalvi}); (default x_2 is the space time reference, whereupon:) x_1 will occur.  See also {lidne}, {cabna}, {purci}, {farna}.
bambu	experimental gismu			      	x_1 is a bamboo (Bambuseae) of genus/species x_2.	Cf. {spati}, {tricu}.
bancu	gismu   	-bac-		      	x_1 exceeds/is beyond limit/boundary x_2 from x_3 in property/amount x_4 (ka/ni).	On the other side of a bound, but not necessarily directly 'across' nor at the shortest plausible distance (per {ragve}); also not limited to position in space.  See also {dukse}, {ragve}, {zmadu}, {kuspe}.
bandu	gismu   	-bad-		      	x_1 (event) defends/protects x_2 (object/state) from threat/peril/potential x_3 (event).	Also secures (verb); x_1 wards/resists x_3; protective cover/shield (= {badgai}).  See also {ckape}, {fanta}, {fapro}, {marbi}, {rivbi}, {zunti}, {snura}, {binra}, {lunbe}, {pulji}.
banfi	gismu			      	x_1 is an amphibian of species/breed x_2.	See also {danlu}, {respa}.
bangu	gismu   	-ban-   	-bau-	      	x_1 is a/the language/dialect used by x_2 to express/communicate x_3 (si'o/du'u, not quote).	Also tongue.  See also {tance}, {cusku}, {ve} {tavla}, {valsi}, {gerna}, {jufra}, {natmi}, {slaka}.
