a	cmavo			   	A      	logical connective: sumti afterthought or.
a'a	cmavo			   	UI1      	attitudinal: attentive - inattentive - avoiding.	See also {jundi}, {rivbi}.
a'acu'i	cmavo-compound			   	UI*1      	attitudinal: attentive - inattentive - avoiding.
a'anai	cmavo-compound			   	UI*1      	attitudinal: attentive - inattentive - avoiding.
abata'adj	cmevla			      		the alphabetic order used in Arabic and derivative alphabets	See also {sepo'i}, {abgad}, {e'elxam}.
abgad	cmevla			      		the alphabetic order used in Northwest Semitic languages and derivative alphabets	See also {sepo'i}, {e'elxam}, {abata'adj}.
abu	bu-letteral			   	BY*      	letteral for a.
acaman	cmevla			      		Asha'man (rank/organization)	The name/word is used in several different ways over the course of the series. This word can mean any of them, depending on context. See also:  {sa'ydin},  {sedais},  {altfor}, {makfa}
a'e	cmavo			   	UI1      	attitudinal: alertness - exhaustion.	See also {sanji}, {cikna}, {tatpi}.
a'ei	experimental cmavo			   	UI1      	attitudinal: appeal/call/invocation/summoning	Compare {e'u} - 'suggestion'
a'enai	cmavo-compound			   	UI*1      	attitudinal: alertness - exhaustion.
ai	cmavo			   	UI1      	attitudinal: intent - indecision - rejection/refusal.	See also {termu'i}, {terzu'e}, {seljdi}, {selcu'a}.
a'i	cmavo			   	UI1      	attitudinal: effort - no special effort - repose.	See also {gunka}, {slunandu}, {guksurla}, {troci}, {selprogunka}.
a'icu'i	cmavo-compound			   	UI*1      	attitudinal: effort - no special effort - repose.
aicu'i	cmavo-compound			   	UI*1      	attitudinal: intent - indecision - rejection/refusal.
ainai	cmavo-compound			   	UI*1      	attitudinal: intent - indecision - rejection/refusal.
a'inai	cmavo-compound			   	UI*1      	attitudinal: effort - no special effort - repose.
akrobat	cmevla			      		acrobat
altfor	cmevla			      		al'Thor	Last name of the primary protagonist of the Wheel of Time series by Robert Jordan: Rand al'Thor (.rand. altfor.). See also:  {sa'ydin},  {sedais},  {acaman},  {makfa}
a'o	cmavo			   	UI1      	attitudinal: hope - despair.	See also {pacna}.
a'oi	experimental cmavo			   	COI      	vocative: slightly piratical greetings	See also {xai}, {coi}, {co'oi}, {o'ai}. This is an {u'ivla} from "ahoy".
a'onai	cmavo-compound			   	UI*1      	attitudinal: hope - despair.
arktik	cmevla			      		Arctic Ocean.
asycy'i'is	cmevla			      		ASCII.
atinas	cmevla			      		Athens
au	cmavo			   	UI1      	attitudinal: desire - indifference - reluctance.	See also {djica}.
a'u	cmavo			   	UI1      	attitudinal: interest - disinterest - repulsion.	See also {cinri}, {selcni}.
a'ucu'i	cmavo-compound			   	UI*1      	attitudinal: interest - disinterest - repulsion.
aucu'i	cmavo-compound			   	UI*1      	attitudinal: desire - indifference - reluctance.
aunai	cmavo-compound			   	UI*1      	attitudinal: desire - indifference - reluctance.
a'unai	cmavo-compound			   	UI*1      	attitudinal: interest - disinterest - repulsion.
auskalerik	cmevla			      		Basque country.
au'u	experimental cmavo			   	UI      	attitudinal: cute (attractive in an innocent way) - lack of cuteness - repulsively uncute
ba	cmavo			   	PU      	time tense relation/direction: will [selbri]; after [sumti]; default future tense.
ba'a	cmavo			   	UI2      	evidential: I expect - I experience - I remember.	See also {bavykri}, {lifri}, {morji}.
ba'acu'i	cmavo-compound			   	UI*2      	evidential: I expect - I experience - I remember.
ba'anai	cmavo-compound			   	UI*2      	evidential: I expect - I experience - I remember.
ba'au	experimental cmavo			   	CUhE      	tense: refers to future of current space/time reference absolutely	in the future of {nau}
baba	cmavo-compound			   	PU*      	time tense: will be going to; (tense/modal).
babilon	cmevla			      		Babylon.
baca'a	cmavo-compound			   	PU*      	time tense: future actuality; modal aspect.
baca'o	cmavo-compound			   	ZAhO*      	time tense: will be then; (tense/modal).
bacilus	cmevla			      		bacillus (genus Bacillus), microorganism	{jurme} is a more generic term
ba'e	cmavo			   	BAhE      	forethought emphasis indicator; indicates next word is especially emphasized.
ba'ei	experimental cmavo			   	BAhEI      	forethought emphasis indicator; indicates next WORD only, even if that word is a construct-indicating cmavo	According to CLL 19.11, regular {ba'e} doesnt always emphasize just one word. If it is placed in front of a construct (e.g. {la}), it emphasizes the entire construct. {ba'ei} was designed especially for these cases.
bai	cmavo			   	BAI      	bapli modal, 1st place (forced by)                forcedly; compelled by force ...
ba'i	cmavo			   	BAI      	basti modal, 1st place                            replaced by ...
bai'ei	experimental cmavo			   	VUhU3      	unary mathematical operator: successor/augment/increment (by one), succ(a) = a++ = a+1	See also: {su'i} {pa}, {balvi}, {jersi}, {selyli'e}, {rebla}, {lamji}
baionet	cmevla			      		bayonet (arms)
baknis	cmevla			      		x_1 is Taurus [constellation/astrological sign].	From bakni (=cow/cattle/kine/ox/[bull/steer/calf]; lojban); Taurus (=bull, bullock, steer; latin).
ban	cmevla			      		bang!
ba'o	cmavo			   	ZAhO      	interval event contour: in the aftermath of ...; since ...; retrospective/perfect              |     |----.
ba'oi	experimental cmavo			   	ROI      	Converts PA into tense; in [number (usually nonspecific)] possible futures where [sumti (du'u)] is true	Possible futures, given the actual past and present; what might happen. Cf. {mu'ei}.
bapu	cmavo-compound			   	PU*      	time tense: will have been; (tense/modal).
barselonas	cmevla			      		Barcelona
bau	cmavo			   	BAI      	bangu modal, 1st place                            in language ...
ba'u	cmavo			   	UI3      	discursive: exaggeration - accuracy - understatement.	See also {satci}, {dukse}.
ba'ucu'i	cmavo-compound			   	UI*3      	discursive: exaggeration - accuracy - understatement.
ba'unai	cmavo-compound			   	UI*3      	discursive: exaggeration - accuracy - understatement.
be	cmavo			   	BE      	sumti link to attach sumti (default x_2) to a selbri; used in descriptions.
be'a	cmavo			   	FAhA1      	location tense relation/direction; north of.
be'e	cmavo			   	COI      	vocative: request to send/speak.
bei	cmavo			   	BEI      	separates multiple linked sumti within a selbri; used in descriptions.
be'i	cmavo			   	BAI      	benji modal, 1st place (sender)                   sent by ...
beiDJIN	cmevla			      		Beijing.	Cf. {jungo}, {tcadu}.
beitlaxum	cmevla			      		Bethlehem.	Cf. {xriso}, {lijda}.
be'o	cmavo			   	BEhO      	elidable terminator: end linked sumti in specified description.
betovn	cmevla			      		Beethoven
be'u	cmavo			   	UI5      	attitudinal modifier: lack/need - presence/satisfaction - satiation.	See also {claxu}, {nitcu}, {mansa}.
be'ucu'i	cmavo-compound			   	UI*5      	attitudinal modifier: lack/need - presence/satisfaction - satiation.
be'unai	cmavo-compound			   	UI*5      	attitudinal modifier: lack/need - presence/satisfaction - satiation.
