bacru	gismu   	-ba'u-		      	x_1 eldiras buŝe/diras/parolas [pervoĉe faras sonon] x_2	[ankaŭ: voĉi; ne necese implicas komunikon aŭ aŭdanton; ('diri' ĝenerale estas cusku)]; (Vidu ankaŭ: krixa, cusku, casnu, tavla, voksa, pinka.)
badna	gismu			      	x_1 estas banano/bananarbo [frukto/planto] de speco/raso x_2	Vidu ankaŭ"grute".
badri	gismu   	-dri-		      	x_1 estas malĝoja/malgaja/trista/depremita pri x_2	Vidu ankaŭ klaku, gleki, betri, cinmo, junri
bajra	gismu   	-baj-		      	x_1 kuras sur supraĵo x_2 per membroj x_3 kun irmaniero x_4	Vidu ankaŭ {cadzu}, {klama}, {litru}, {stapa}, {plipe}, {cpare}.
bakfu	gismu   	-baf-		      	x_1 estas pako/fasko [formo] da x_2 ligitaj per x_3	Vidu ankaŭ {daski}, {dakli}, {tanxe}.
bakni	gismu   	-bak-		      	x_1 estas bovo de speco/raso x_2	Vidu ankaŭ {danlu}.
bakri	gismu			      	x_1 estas kvanto da/enhavas/konsistas el kreto el fonto x_2 en formo x_3	Vidu ankaŭ {pinsi}, {blabi}, {jilka}.
baktu	gismu			      	x_1 estas sitelo/profunda, solida ujo kun larĝa supro, enhavanta x_2-on, el materialo x_3	Vidu ankaŭ {botpi}, {patxu}, {tansi}, {lante}, {lanka}.
balji	gismu			      	x_1 estas bulbo [korpoparto] de planto/speco x_2; [metafore: ronda, elŝvelinta]	Vidu ankaŭ {punli}, {batke}.
balni	gismu			      	x_1 estas balkono/breto de konstruaĵo/strukturo x_2	Vidu ankaŭ {kajna}.
balre	gismu   	-ba'e-		      	x_1 estas klingo de ilo/armilo x_2	Vidu ankaŭ {dakfu}, {tunta}, {tutci}, {guska}, {kinli}, {katna}.
balvi	gismu   	-bav-		      	x_1 estas en la estonteco de/post x_2 en tempo-sinsekvo; x_1 estas posta; x_2 estas antaŭa	Ankaŭ: sekvaĵo, sekvi, sukcedi, okazi poste; nur tempo-ordo (uzu lidne alie); aorista en tio, ke x_1 povas tempe interkovri x_2-on dum ĝi etendiĝas posten; neaorista estonteco (= {cfabalvi}); (defaŭlto x_2 estas la spaco-tempa referenco, do:) x_1 okazos.  Vidu ankaŭ {lidne}, {cabna}, {purci}, {farna}.
bancu	gismu   	-bac-		      	x_1 superas/estas trans/preter/pli malproksime ol limo x_2 de x_3 en kvalito/kvanto x_4 (ka/ni)	Je la alia flanko de limo, sed ne nepre rekte 'trans' ĝi nek je la plej mallonga supozebla distanco (per ragve); ankaŭ ne limigita al spaca pozicio.  Vidu ankaŭ {dukse}, {ragve}, {zmadu}, {kuspe}.
bandu	gismu   	-bad-		      	x_1 (okazo) defendas/protektas x_2-on (objekto/stato) de minaco/danĝero x_3 (okazo)	Ankaŭ: sekurigi; x_1 fortenas/rezistas x_3-on; protekta kovrilo/ŝirmilo (= {badgai}).  Vidu ankaŭ {ckape}, {fanta}, {fapro}, {marbi}, {rivbi}, {zunti}, {snura}, {binra}, {lunbe}, {pulji}.
banfi	gismu			      	x_1 estas amfibio de speco/raso x_2	Vidu ankaŭ {danlu}, {respa}.
bangu	gismu   	-ban-   	-bau-	      	x_1 estas lingvo/dialekto uzata de x_2 por esprimi/komuniki x_3-on (si'o/du'u, ne citaĵo)	Vidu ankaŭ {tance}, {cusku}, ve {tavla}, {valsi}, {gerna}, {jufra}, {natmi}, {slaka}.
banli	gismu   	-bal-   	-ba'i-	      	x_1 estas grandioza/bonega/majesta en eco x_2 (ka) laŭ normo x_3	Indikas subjektivan grandecon, kompare kun la objektiva normo implica por barda; (sinonimoj, eble bezonantaj tanru:) eksterordinara, glora, impresa, inspira, speciala, eminenta, splenda, impona (ĉiuj ĝenerale zabna); terura (mabla).  Vidu ankaŭ {barda}, {nobli}, se {sinma}, {pluja}, {misno}, {vajni}, {fasnu}, {cizra}, {traji}, {mutce}, se {manci}.
banro	gismu   	-ba'o-		      	x_1 kreskas/etendiĝas [pliiĝanta evoluo] en grandecon/formon x_2 disde x_3	Ankaŭ: leviĝi, evolui; x_1 pligrandiĝas/pliiĝas.  Vidu ankaŭ {farvi}, {zenba}, {jmina}, {barda}, {makcu}, {ferti}.
banxa	gismu   	-bax-		      	x_1 estas banko posedita de/en banka sistemo x_2 kun banka(j) funkcio(j) x_3 (okazo)	Vidu ankaŭ {sorcu}, {zarci}, {canja}, {kagni}.
banzu	gismu   	-baz-		      	x_1 (objekto) sufiĉas por celo x_2 sub kondiĉoj x_3	Vidu ankaŭ {dukse}, {claxu}, {nitcu}, {ricfu}, {curmi}.
bapli	gismu   	-bap-   	-bai-	      	x_1 [forto] (ka) devigas ke okazo x_2 okazu; x_1 determinas ke eco x_2 evidentiĝu	Ankaŭ: igi; implicas sukceson.  Vidu ankaŭ {fanta}, {rinju}, {jimte}, {jitro}, {rinka}, {krinu}, {zukte}, {randa}, {danre}, cmavo {bai}, {marxa}, {tinsa}, {xarnu}.
barda	gismu   	-bra-		      	x_1 estas granda laŭ eco/dimensio(j) x_2 (ka) kompare kun normo x_3	Vidu ankaŭ {banli}, {clani}, {ganra}, {condi}, {plana}, {cmalu}, {rotsu}, {banro}, {xanto}.
bargu	gismu   	-bag-		      	x_1 formas arkon/kurbon super/ĉirkaŭ x_2 el materialo x_3	x_2 ne nepre estas objekto, sed povas esti punkto aŭ volumeno.  Vidu ankaŭ {cripu}, {kruvi}, {korcu}, {condi}.
barja	gismu			      	x_1 estas taverno/drinkejo prezentante x_2-on al klientaro x_3	Vidu ankaŭ {gusta}, {birje}, {jikru}, {sanmi}, {vanju}, {xotli}, {ckafi}, se {pinxe}.
barna	gismu   	-ba'a-		      	x_1 estas marko(j)/makulo(j) sur x_2 el materialo x_3	Ba'armo'a por aranĝo de markoj.  Vidu ankaŭ {sinxa}, {pixra}, se {ciska}, se {prina}.
bartu	gismu   	-bar-		      	x_1 estas ekster x_2	Vidu ankaŭ {jibni}, {nenri}, {sruri}, {lamji}, {korbi}, {calku}, {vasru}.
basna	gismu			      	x_1 emfazas/akcentas/substrekas/elstarigas x_2-on per (ago) x_3	Ankaŭ: diri forte. Vidu ankaŭ {pandi}.
