bacru	gismu   	-ba'u-		      	x_1 [hangosan] kimondja/kiejti x_2-t	Nem feltétlenül utal kommunikációra („mond”: {cusku}) (Lásd még: {krixa}, {cusku}, {casnu}, {tavla}, {voksa}, {pinka})
badna	gismu			      	x_1 egy banán/banánfa [Musa nemzetség] az x_2 fajból/fajtából	(Lásd még: {grute})
badri	gismu   	-dri-		      	x_1 szomorú/levert/bánkódik x_2 miatt	(Lásd még: {klaku}, {gleki}, {betri}, {cinmo}, {junri})
bajra	gismu   	-baj-		      	x_1 fut/szalad x_2 felületen, x_3 végtagokkal, x_4 módon	(Lásd még: {cadzu}, {klama}, {litru}, {stapa}, {plipe}, {cpare})
bakfu	gismu   	-baf-		      	x_1 egy csomag/köteg/nyaláb x_2-ből, amit x_3 tart össze	(Lásd még: {daski}, {dakli}, {tanxe})
bakni	gismu   	-bak-		      	x_1 egy szarvasmarha [Bos nem] az x_2 fajból/fajtából	(Lásd még: {danlu})
bakri	gismu			      	x_1 bizonyos mennyiségű kréta/mészkő (-vet tartalmaz/-ből készült), x_2 forrásból, x_3 formában	(Lásd még: {pinsi}, {blabi}, {jilka})
baktu	gismu			      	x_1 egy vödör/bödön [mély, széles edény/tartály] amely x_2-t tartalmaz és x_3 anyagból készült	(Lásd még: {botpi}, {patxu}, {tansi}, {lante}, {lanka})
balji	gismu			      	x_1 egy/a hagymája/gumója x_2 növénynek/fajnak	(Lásd még: {punli}, {batke})
balni	gismu			      	x_1 egy erkély/kiszögellés/párkány x_2 épületen/építményen	(Lásd még: {kajna})
balre	gismu   	-ba'e-		      	x_1 egy/a penge x_2 eszközön/fegyveren	(Lásd még: {dakfu}, {tunta}, {tutci}, {guska}, {kinli}, {katna})
balvi	gismu   	-bav-		      	x_1 később létezik/történik meg, mint x_2 [alapesetben a téridő-referenciapont („most”)]	x_1 átfedésben lehet x_2-vel, amennyiben x_1 később fejeződik be, mint x_2 (Lásd még: {lidne}, {cabna}, {purci}, {farna})
bancu	gismu   	-bac-		      	x_1 túl van/túllóg x_2 határon, x_3-ból nézve, x_4 tulajdonság tekintetében	Nem feltétlenül teljesen (Lásd még: {dukse}, {ragve}, {zmadu}, {kuspe})
bandu	gismu   	-bad-		      	x_1 esemény megvédi x_2-t x_3 eseménytől	(Lásd még: {ckape}, {fanta}, {fapro}, {marbi}, {rivbi}, {zunti}, {snura}, {binra}, {lunbe}, {pulji})
banfi	gismu			      	x_1 egy kétéltű [Amphibia osztály] az x_2 fajból/fajtából	(Lásd még: {danlu}, {respa})
bangu	gismu   	-ban-   	-bau-	      	x_1 egy/a nyelv(járás), amelyet x_2 használ x_3 gondolat kifejezésére	(Lásd még: {tance}, {cusku}, ve {tavla}, {valsi}, {gerna}, {jufra}, {natmi}, {slaka})
banli	gismu   	-bal-   	-ba'i-	      	x_1 kiemelkedő x_2 tulajdonságában, x_3 mérce szerint	(Lásd még: {barda}, {nobli}, {sinma}, {pluja}, {misno}, {vajni}, {fasnu}, {cizra}, {traji}, {mutce}, {manci})
banro	gismu   	-ba'o-		      	x_1 megnő/elterjed x_2 méretűre/formájúra x_3 alapállapotból	Használatos „fejlődik”, „fokozódik” értelemben is (Lásd még: {farvi}, {zenba}, {jmina}, {barda}, {makcu}, {ferti})
banxa	gismu   	-bax-		      	x_1 egy bank x_2 tulajdonában/bankrendszerben x_3 bankügyletekre	(Lásd még: {sorcu}, {zarci}, {canja}, {kagni})
banzu	gismu   	-baz-		      	x_1 elegendő/kielégítő x_2 célra, x_3 körülmények között	(Lásd még: {dukse}, {claxu}, {nitcu}, {ricfu}, {curmi})
