bacru	gismu   	-ba'u-		      	x_1 cupra x_2 noi bangu sance ku'o lo'e nu pilno lo'e tavla rango be x_1	{sance}; {voksa}; {krixa}; {cmoni}; {tavla}
badna	gismu			      	x_1 grute x_2 noi jutsi la'o jutygunma Musa jutygunma	{grute}; {jutsi}
badri	gismu   	-dri-		      	x_1 cinmo lo ka to'e se pluka x_2 .i x_1 to'e gleki x_2	{cinmo}; {pluka}; {gleki}
bajra	gismu   	-baj-		      	x_1 litru x_2 x_3 noi tuple x_1 ku'o ta'i lo nu su'o roi ro nu stapa kei no lo tuple cu pencu lo loldi	{litru}; {tuple}; {stapa}; {pencu}; {loldi}; {cadzu}
bakni	gismu   	-bak-		      	x_1 rapmarxa mabru x_2 noi jutsi la'o jutygunma Bos jutygunma	{rapmarxa}; {mabru}; {jutsi}; {lanme}; {kanba}; {kumte}; {mirli}; {djirafa}
baktu	gismu			      	x_1 condi vautci x_2 gi'e marji x_3 gi'e barda je gapru kalri gi'e ka'e se pilno fi lo nu bevri x_2	{condi}; {vautci}; {marji}; {barda}; {gapru}; {kalri}; {pilno}; {bevri}; {patxu}
balni	gismu			      	x_1 galtu tsina je barku'e x_2	{galtu}; {tsina}; {barku'e}; {kajna}
balre	gismu   	-ba'e-		      	x_1 plita je kinli pagbu x_2 noi tutci ja xarci gi'e se pilno fi lo ka katna ja guska ja tunta	{plita}; {kinli}; {pagbu}; {tutci}; {xarci}; {katna}; {guska}; {tunta}: {dakfu}
balvi	gismu   	-bav-		      	x_1 se lidne x_2 lo'e temci porsi .i x_1 se purci x_2	{lidne}; {purci}; {cabna}
bancu	gismu   	-bac-		      	x_1 zmadu x_2 lo ka ce'u darno x_3 x_4	{zmadu}; {darno}; {ragve}
bandu	gismu   	-bad-		      	x_1 rinka lo nu x_2 snura x_3 .i x_1 fapro x_3 noi gunta x_2	{rinka}; {snura}; {fapro}; {gunta}
banfi	gismu			      	x_1 lekselblu bogda'u x_2 .i lo cifnu cu na'o xabju lo djacu gi'e pilno lo jacyfepri lo ka vasxu .i lo makcu cu na'o pi mu si'e tumxa'u gi'e pilno lo fepri lo nu vasxu pa'o lo cilmo je cigla pilka	{lekselblu} .i {bogda'u}
bangu	gismu   	-ban-   	-bau-	      	x_1 gunma lo valsi jo'u lo ciste be ri bei lo ka x_2 pilno ri ma'i ce'u lo ka cusku lo se smuni be x_3	{gunma}; {valsi}; {ciste}; {pilno}; {cusku}; {smuni}, {tavla}; {gerna}; {jufra}
banli	gismu   	-bal-   	-ba'i-	      	x_1 mutce lo ka jai se manci ja se sinma fai x_2 gi'a vajni fi x_2	{mutce}; {manci}; {sinma}; {vajni}
banro	gismu   	-ba'o-		      	x_1 zenba lo ka barda kei co'u lo nu x_2 tarmi ja nilbra x_1 kei co'a lo nu x_3 tarmi ja nilbra x_1
banxa	gismu   	-bax-		      	x_1 kagni x_2 x_3 noi cpacu ja te jbera ja canja ja marbi lo jdini gi'a su'o roi te jdini	{kagni}; {cpacu}; {jbera}; {canja}; {marbi}; {jdini}
banzu	gismu   	-baz-		      	lo nu x_1 narfau cu sarcu lo nu x_2 narfau	srana fa zo {sarcu} .e zo {bazysa'u} .e zo {banzuni} .e zo {nibli} .e zo {selja'e} .e zo {rinka}
bapli	gismu   	-bap-   	-bai-	      	x_1 vlipa je rinka x_2	{vlipa} .i {rinka}
barda	gismu   	-bra-		      	x_1 zmadu lo cnano be x_2 bei x_3 be'o x_2 noi cimde x_1
barja	gismu			      	x_1 stuzi lo nu x_2 noi selpinxe cu se vecnu ja se sabji fi x_3 gi'e se pinxe x_3	{stuzi}; {selpinxe}; {vecnu}; {sabji}; {pinxe}; {gusta}
barna	gismu   	-ba'a-		      	x_1 selviska'e prina ja skuro ja tcila lo sefta be x_2	{selviska'e}; {prina}; {skuro}; {tcila}; {sefta}; {ciska}
bartu	gismu   	-bar-		      	no pagbu be x_1 cu zvati x_2	selsmudukti zo {nenri} gi'e se srana zo {zvati} .e zo {pagbu}
basfa	experimental gismu			      	x_1 marce x_2 no'u so'i prenu x_3 boi x_4	mintu zo {sorprema'e} gi'e se cmima zo {sorprekarce} .i basfa gi'u pilno lo dargu
basti	gismu   	-bas-		      	x_1 pu na je ca ckaji x_3 noi pu je nai ca se ckaji x_2	{ckaji}; {cabna}; {purci}
batci	gismu   	-bat-		      	x_1 gasnu lo nu x_4 noi pagbu x_1 cu tunta x_3 noi pagbu x_2	{tunta}, {denci}, {jgalu}, {guska}, {citka}
bavmi	gismu			      	x_1 gurni ja spati x_2 noi jutsi la'o jutygunma Hordeum jutygunma	{gurni}; {spati}; {jutsi}
baxso	gismu			      	x_1 ckini lo kulnu ja bangu ja cecmu ja natmi pe lo banzusumu x_2	{kulnu}; {bangu}; {cecmu}; {natmi}; {banzusumu}; {polno}; {bindo}; {meljo}
bebna	gismu   	-beb-		      	x_1 zukte ja tarti x_2 noi fenki .i x_1 to'e prije x_2	{zukte}; {tarti}; {fenki}; {prije}
bende	gismu   	-bed-   	-be'e-	      	x_1 gunma x_2 noi prenu gi'e se gidva x_3 x_4	{gunma}; {prenu}; {gidva}
bengo	gismu   	-beg-		      	x_1 ckini lo kulnu ja bangu ja cecmu ja natmi pe lo banbu'enu ja gugdebudu x_2	{kulnu}; {bangu}; {cecmu}; {natmi}; {banbu'enu}; {gugdebudu}; {xazdo}
benji	gismu   	-bej-   	-be'i-	      	x_1 cfagau lo nu x_2 muvdu x_3 fi x_4	srana fa zo {cpacu} .e zo {mrilu}
bersa	gismu   	-bes-   	-be'a-	      	x_1 nakni gi'e se rirni x_2
