a	cmavo			   	A      	logji jonma'o .i te jorne le li'erla'i sumti le se li'erla'i sumti ja'e lo vlina	{logji} {jonma'o}; {sumti} {vlina}
a'a	cmavo			   	UI1      	tcita le se cusku le du'u la'e ri se jundi le cusku	{jundi}
a'acu'i	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri se nalju'i	{a'a} {cu'i}, {nalju'i}
a'anai	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri se tolju'i	{a'a} {nai}; {tolju'i}
abu	bu-letteral			   	BY*      	pamoi lerfu le lojbo	{lerfu}
a'e	cmavo			   	UI1      	tcita le se cusku le du'u la'e ri se sanji le cusku	{sanji}
a'enai	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri se tatpi	{a'e} {nai}; {tatpi}
a'i	cmavo			   	UI1      	tcita le se cusku le du'u la'e ri se camtoi le cusku	{camtoi}
ai	cmavo			   	UI1      	tcita le se cusku le du'u la'e ri te zukte fi le cusku	{zukte}
a'icu'i	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri se na'e camtoi le cusku	{a'i} {cu'i}; {na'e} {camtoi}
aicu'i	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri se nonjdi le cusku	{ai} {cu'i}; {nonjdi}
a'inai	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri se surla le cusku	{a'i} {nai}; {surla}
ainai	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri te xarnu fi le cusku	{ai} {nai}; {xarnu}
a'o	cmavo			   	UI1      	tcita le se cusku le du'u la'e ri se pacna le cusku	{pacna}
a'oi	experimental cmavo			   	COI      	tcita lo cmene ja ve skicu le du'u sinxa le du'u makau te cusku .e le du'u blozeile'a milxe rinsa le te cusku	ko viska zo {xai} .e zo {coi} .e zo {co'oi} .e zo {o'ai} .i zo {a'oi} cu {u'ivla} gi'e {fu'ivla} fo zoi gy. ahoy .gy lo glibau
a'onai	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri se tolpa'a le cusku	{a'o} {nai}; {tolpa'a}
a'u	cmavo			   	UI1      	tcita le se cusku le du'u la'e ri cinri le cusku	{cinri}
au	cmavo			   	UI1      	tcita le se cusku le du'u la'e ri se djica le cusku	{djica}
a'ucu'i	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri nalci'i	{a'u} {cu'i}; {nalci'i}
aucu'i	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri se naldji le cusku	{au} {cu'i}; {naldji}
a'unai	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri rigni le cusku	{a'u} {nai}; {rigni}
aunai	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri se toldji le cusku	{au} {nai}; {toldji}
au'u	experimental cmavo			   	UI1      	cnima'o .i citmle u'unai     .i kansa zo nai poi na'e citmle u'unaicu'i     .i kansa zo cu'i poi to'e citmle u'u
a'y	experimental cmavo			   	BY2      	pa moi lo lerfu be lo lojbo se lerfu	dunli me'o .abu lo ka sinxa ma kau
ba	cmavo			   	PU      	fi'o se balvi
ba'a	cmavo			   	UI2      	tcita le se cusku le du'u la'e ri se bavykri	{bavykri}
ba'acu'i	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri se lifri	{ba'a} {cu'i}; {lifri}
ba'anai	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri se morji	{ba'a} {nai}; {morji}
ba'au	experimental cmavo			   	CUhE      	nau ba	sinxa lo du'u lo nundumu be lo bridi poi vasru zo ba'au cu balvi lo nu zo ba'au se cusku
ba'e	cmavo			   	BAhE      	basna le pa valsi poi vo'a li'erla'i ke'a	{basna}
ba'i	cmavo			   	BAI      	fi'o basti	{basti}
bai	cmavo			   	BAI      	fi'o bapli
ba'o	cmavo			   	ZAhO      	fi'o mulcabna	{mulcabna}
ba'u	cmavo			   	UI3      	tcita le se cusku le du'u la'e ri dukse	{dukse}
bau	cmavo			   	BAI      	fi'o bangu
ba'ucu'i	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri satci	{ba'u} {cu'i}; {satci}
ba'unai	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri toldu'e	{ba'u} {nai}; {toldu'e}
bau'u	experimental cmavo			   	FAhA      	x_1 se bartu x_2 (to'i sumtcita toi)	lu «broda bau'u ko'a» li'u smudu'i lu «broda {xoi} ke'a {bartu} ko'a» li'u .i srana fa zo {ne'i} ji'a
be	cmavo			   	BE      	te jorne lo sumti lo selbrisle ja'e lo cnino selbrisle	{bei}, {be'o}
be'a	cmavo			   	FAhA1      	fi'o se berti	{berti}
be'au	experimental cmavo			   	BAI      	fi'o se banzu	{fi'o} {banzu}
be'e	cmavo			   	COI      	tcita lo cmene ja ve skicu le du'u sinxa le du'u makau te cusku .e le du'u le cusku cu cpedu lo'e nu ri benji kei le te cusku	{doi}; {benji} {cpedu} 
be'i	cmavo			   	BAI      	fi'o benji	{benji}
bei	cmavo			   	BEI      	te jorne lo su'oremoi sumti lo selbrisle ja'e lo cnino selbrisle	{be}, {be'o}
bei'e	experimental cmavo			   	BEIhE      	x_1 smudu'i lo'u be nu'i le'u .i je le se cmavo be x_1 cu se famyma'o zo be'o
be'o	cmavo			   	BEhO      	fa'orma'o zo be	{fa'orma'o}; {be}; {bei}
be'oi	experimental cmavo			   	BEhOI      	lu fi'o broda fe'u be'oi ko'a li'u du lu fi'o broda be ko'a fe'u li'u	zo be cu krasi .i plixau lo nu tengau lo smuni be lo valsi pe mu'a ma'oi BAI
be'u	cmavo			   	UI5      	tcita le se cusku le du'u la'e ri se claxu je se nitcu	{claxu}; {nitcu}
