bacru	gismu   	-ba'u-		      	x_1 は x_2 （声／音）を発する	意思疎通や話し相手は必ずしも含意しない。「.a'enai do ranji bacru／きみの長話にはうんざりだ」 ・大意： 発声 ・読み方： バシル ・語呂合わせ： ＜口走る＞, utter  ・関連語： {krixa} (叫ぶ), {cusku} (言う), {casnu} (論議), {tavla} (話す), {voksa} (声), {pinka}
badna	gismu			      	x_1 は x_2 （種類）のバショウ科植物（バナナ等）	「le vi badna zo'u lo pilka cu pelxu／このバナナは皮が黄色い」 ・大意： バナナ ・読み方： バドナ  ・語呂合わせ： ＜場で怒鳴る＞,  banana　 ・関連語： {grute}
badri	gismu   	-dri-		      	x_1 は x_2 （事）について悲しい／落胆している；  x_2 は x_1 を悲しませる	「lo nu le va prenu pu morsi binxo cu se badri／その人の死んだことが悲しい」 ・大意： 悲しい ・読み方： バドリ ・関連語： {klaku}, {gleki}, {betri}, {cinmo}, {junri}
bajra	gismu   	-baj-		      	x_1 は x_2 （表面）を x_3 （肢）・ x_4 （調子）で走る	「mi sutra bajra／私は速く走る」「le bajra cu jinga ja te jinga／その走者は勝者または敗者である」 ・大意： 走る ・読み方： バジラ  ・語呂合わせ： ＜場をじらす＞, run
bakfu	gismu   	-baf-		      	x_1 は x_2 （内容）を x_3 で結んだ束／パッケージ／まとまり	「ti bakfu loi tirse grana loi skori／これは鉄の棒を縄で束ねたものである」 ・大意： 束 ・読み方： バクフゥ ・語呂合わせ： ＜バック太い＞, pakku, bau（包） ・関連語： {daski}, {dakli}, {tanxe}
bakni	gismu   	-bak-		      	x_1 は x_2 （種類）のウシ属動物	「lo bakni lo srasu cu citka／牛が草を食べる」「mi djica genai loi bakni gi loi jipci／私はギュウではなくトリが欲しい」 ・大意： 牛 ・読み方： バクニ  ・語呂合わせ： ＜バック肉＞, vaca,niu（牛）,ox ・関連語： {danlu}
bakri	gismu			      	x_1 は x_2 （起源）・ x_3 （形状）のチョーク	「lo bakri cu ve ciska／チョークで書く」 ・大意： チョーク ・読み方： バクリ  ・語呂合わせ： ＜バックリ＞,  bai (白) ・関連語： {pinsi}, {blabi}, {jilka}
baktu	gismu			      	x_1 は x_2 （内容）・ x_3 （素材）のバケツ／桶／槽	「tansi」よりも底が深い。「風呂／浴槽」「水槽」も。「da kevna le baktu／そのバケツは、どこかに穴が開いている」 ・大意： バケツ ・読み方： バクトゥ ・語呂合わせ： ＜バック・トゥー＞, baketu, bucket ・関連語： {botpi}, {patxu}, {tansi}, {lante}, {lanka}
balji	gismu			      	x_1 は x_2 （植物種）の球根／球茎／鱗茎／	「lo balji be la likoris. cu vindu mutce／ヒガンバナの球根は毒性が強い」 ・大意： 球根 ・読み方： バルゥジ ・語呂合わせ：  バルブ、bulb,jing（茎） ・関連語： {punli}, {batke}
balni	gismu			      	x_1 は x_2 （構造体）のバルコニー／さじき／ベランダ／張り出し	「la juliet. bu'u lo balni cu tavla la noi bartu romeon.／ジュリエットがバルコニーから外のロミオに語りかける」 ・大意： バルコニー ・読み方： バルゥニ  ・語呂合わせ： balcon ・関連語： {kajna}
balre	gismu   	-ba'e-		      	x_1 は x_2 （武器／道具）の刃	「lo se balre cu se darxi zbasu／刃物を鍛造する」 ・大意： 刃 ・読み方： バルゥレ  ・語呂合わせ：  blade,ren（刃） ・関連語： {dakfu}, {tunta}, {tutci}, {guska}, {kinli}, {katna}
