a	cmavo			   	A      	sumti 論理和（OR）／～や～ ： 接続詞（論理・後置・sumti）； 前部と後部はどちらか或いは共に真	「lo plise .a lo badna cu se citka／リンゴやバナナを食べる」 ・読み方： ア
a'a	cmavo			   	UI1      	謹聴／注目 （a'a 謹聴／注目 - a'acu'i 無頓着／無愛想 - a'anai 忌避）	心態詞； 丁寧に扱う／対応する気持； 警戒を表す a'e や用心を表す o'i と異なる「.a'a do .io na citka lo rectu／肉は召し上がらないのですね」「.a'a .i ko di'a co'e .i ba ku ma fasnu／なるほど、それで、その後どうなったの？」 ・読み方： アハ  ・関連語： {jundi}, {re'i}
a'acu'i	cmavo-compound			   	UI*1      	無頓着／無愛想 （ a'a 謹聴／注目 - a'acu'i 無頓着／無愛想 - a'anai 忌避）	心態詞； 懇ろさを欠いた気持； 気に留めない情況「zo'e .a'acu'i pu ca'o klama／誰だか気に留めなかったが、来ていた人はいた」「.a'a cu'i ko denpa lo nu mi mulgau ti／ちょっとこれ終わるまで待ってて」 ・読み方： アハシュヒ ・関連語： {nalju'i}, {re'i} {nai}
a'anai	cmavo-compound			   	UI*1      	忌避 （ a'a 謹聴／注目 - a'acu'i 無頓着／無愛想 - a'anai 忌避）	心態詞； 対応するの嫌う気持； 相手にしたくない気持「やってられないよ」「.a'anai za'u re'u judri srera fonxa／もう嫌だ、また間違い電話だ」「.a'a nai mi na tirna／知ーらないっと」 ・読み方： アハナイ  ・関連語： {rivbi}
abu	bu-letteral			   	BY*      	a ： 字詞	「.abu lerfu／a は文字だ」 ・読み方： アブ
a'e	cmavo			   	UI1      	警戒／注意 （ a'e 警戒／注意 - a'enai 消耗）	心態詞； 物事にたいして警戒する／感覚を鋭敏にする気持「.a'e ba vlile tcima／嵐の恐れがある」「.a'e le cabdei ba xamgu djedi／今日はいい日になりそうだ」 ・読み方： アヘ  ・関連語： {sanji}, {cikna}
a'enai	cmavo-compound			   	UI*1      	消耗 （ a'e 警戒／注意 - a'enai 消耗）	心態詞； 物事に対して感覚が鈍る／疲労した気持ち「.a'enai do ranji bacru／きみの長話にはうんざりだ」「.a'e nai mi klama lo ckana／ふぅ、やれやれ、寝るか」 ・読み方： アヘナイ  ・関連語： {tatpi}
ai	cmavo			   	UI1      	志向 （ ai 志向 - aicu'i 不断 - ainai 無為）	心態詞； それを行為する、それにたいして働きかけるつもりがある気持「mi ai gasnu／私がやりましょう」「klama tu ai pei／あそこに行くつもりですか？」「.ai le mi cukta do sidju gi'e pacnygau／私の本であなたを助け、あなたが希望を持てるようにするつもりだ」 ・読み方： アイ  ・関連語： {zukte}, {platu}
a'i	cmavo			   	UI1      	努力 （ a'i 努力 - a'icu'i 余裕 - a'inai 休息）	心態詞； 努める、頑張る気持「.a'i limna koi lo dukti zbani／なんとか対岸まで泳ぐ」「le lenku dilnu cu sutkla a'idai／寒い雲がいそぐ」（山頭火『行乞記（二）』）「.a'i mi ze'a ba ralte／このまま頑張る」「.a'i mi ba gasnu lo nu do cikna binxo／お前を起こすのは一苦労だ」 ・読み方： アヒ  ・関連語： {gunka}, {slunandu}, {troci}, {selprogunka}, {fu'i} {nai}
a'icu'i	cmavo-compound			   	UI*1      	余裕 （ a'i 努力 - a'icu'i 余裕 - a'inai 休息）	心態詞； 頑張らなくてもいいという気持「.a'icu'i le vi nabmi cu ka'e se danfu／この問題は簡単に解ける」「.a'i cu'i ti frili／こんなの簡単」 ・読み方： アヒシュヒ  ・関連語： {selfrili}, {fu'i}
aicu'i	cmavo-compound			   	UI*1      	不断 （ ai 志向 - aicu'i 不断 - ainai 無為）	心態詞； それをするかどうか決断できていない気持； 気乗り薄な情況「どうしよっかなー」「.ai cu'i mi ti ba te vecnu／これ買おうかな、やめとこうかな」 ・読み方： アイシュヒ  ・関連語： {norzu'e}, {norpla}
ainai	cmavo-compound			   	UI*1      	無為 （ ai 志向 - aicu'i 不断 - ainai 無為）	心態詞； それをするつもりがない／その予定ではない／不作為の気持 「.ainai vecnu ti／これは売り物ではありません」「.ai nai mi gunka ca le pavdei／私は月曜日に働くつもりはない」「.ai nai mi jmina lo valsi poi mi finti／我流の言葉を言い足すつもりはない」「.ai nai do pu se xrani／あなたを傷つけるつもりはなかった」 ・読み方： アイナイ  ・関連語： {selsnuti}
a'inai	cmavo-compound			   	UI*1      	休息 （ a'i 努力 - a'icu'i 余裕 - a'inai 休息）	心態詞； 頑張らずに休む／怠ける気持 「.a'i nai cikre ta／直すのやーめた」・読み方： アヒナイ  ・関連語： {toltoi}, {cando}, {guksurla}
a'o	cmavo			   	UI1      	希望 （ a'o 希望 - a'onai 絶望）	心態詞； それについて望みをかける気持「.a'o do nelci le se dunda／あなたがそのプレゼントを気に入ってくれるといいな」 ・読み方： アホ  ・関連語： {pacna}
