bacru	gismu   	-ba'u-		      	x_1 произносит (вслух), издает звук x_2	Не обязательно требуется аудитория или общение ("говорит" - {cusku}). См. {krixa} (кричать), {cusku} (говорить), {casnu} (обсуждать), {tavla} (разговаривать, общаться), {voksa} (голос, речь), {pinka} (комментарий, замечание).
badna	gismu			      	x_1 — банан (фрукт/растение) вида/сорта x_2	{grute} (плод [фрукт])
badri	gismu   	-dri-		      	x_1 печален/расстроен/подавлен/огорчен x_2 (чем, из-за чего: абстракция)	См. {klaku} (плакать/рыдать), {gleki} (радоваться), {betri} (трагедия), {cinmo} (эмоция), {junri} (серьезный)
bajra	gismu   	-baj-		      	x_1 бежит по поверхности x_2 на конечностях x_3 способом/манерой x_4	См. {cadzu} (идти пешком), {klama} (перемещаться), {litru} (путешествовать), {stapa} (шагать), {plipe} (прыгать), {cpare} (карабкаться).
bakfu	gismu   	-baf-		      	x_1 — пакет/сверток/пачка/стопка/связка/пучок/гроздь предметов x_2, удерживаемых вместе при помощи x_3	{daski} (карман), {dakli} (мешок), {tanxe} (коробка)
bakni	gismu   	-bak-		      	x_1 — корова/бык/теленок вида/породы x_2	{danlu} (животное)
bakri	gismu			      	x_1 — мел/{известняк/мрамор} из источника x_2 в форме x_3	{pinsi} (карандаш), {blabi} (белый), {jilka} (щелочь)
baktu	gismu			      	x_1 — бадья/ведро/лохань/ванна/корыто (сосуд с плотными стенками, с широким раствором) с содержимым x_2, из материала x_3	Содержимое может только предполагаться, т.е. сосуд для x_2
balji	gismu			      	x_1 — луковица растения x_2	См. {spati} - 'растение'
balni	gismu			      	x_1 — балкон/уступ/карниз/козырек в здании/сооружении x_2	См. также {kajna} (полка)
balre	gismu   	-ba'e-		      	x_1 — лезвие/клинок орудия/оружия x_2	{dakfu} (нож), {tunta} (колоть), {tutci} (инструмент), {guska} (соскабливать), {kinli} (острый), {katna} (разрезать)
balvi	gismu   	-bav-		      	x_1 происходит в будущем относительно/позже чем/после x_2; x_1 — потом, позже; x_2 — перед, раньше	Также: следует за, преемник; только об упорядочении во времени (иначе нужно использовать {lidne}); x_1 может перекрываться во времени с x_2, если только x_1 продолжается впоследствии; будущее в сугубом смысле: {cfabalvi}; по умолчанию x_2 — настоящее время: x_1 произойдет в будущем {lidne} (предшествовать), {cabna} (одновременно), {purci} (раньше), {farna} (направление)
bambu	experimental gismu			      	x_1 - это бамбук (Bambuseae) рода/вида x_2.	Ср. {spati}, {tricu}.
bancu	gismu   	-bac-		      	x_1 находится за пределом/границей/рубежом x_2, ограничивающим x_3 по свойству/величине x_4 ({ka}/{ni})	Также: по ту сторону, превышает, выходит за/через, переступает пределы; по другую сторону границы, но не обязательно непосредственно «напротив» или на кратчайшем (в каком-то смысле) расстоянии (ср. {ragve}); не обязательно также речь идет о положении в пространстве {dukse} (избыток), {ragve} (напротив [по ту сторону]), {zmadu} (превосходить), {kuspe} (простираться)
bandu	gismu   	-bad-		      	x_1 (событие) защищает/обороняет x_2 (объект/состояние) от угрозы/опасности/возможности x_3	Также: охраняет/предохраняет; x_1 сдерживает/сопротивляется/отбрасывает/отбивается от x_3; защитное покрытие/щит: {badgai} {ckape} (опасный), {fanta} (препятствовать [не давать произойти]), {fapro} (противостоять), {marbi} (убежище), {rivbi} (избегать [участи]), {zunti} (мешать [препятствовать]), {snura} (защищенный [в безопасности]), {binra} (страховать), {lunbe} (голый), {pulji} (полицейский)
banfi	gismu			      	x_1 — амфибия/земноводное (животное) вида/разновидности x_2	{danlu} (животное), {respa} (рептилия)
