a	cmavo			   	A      	логический союз: последующая мысль в sumti: 'или'
a'a	cmavo			   	UI1      	междометие: внимательно - невнимательно - избегающе	См. также {jundi}, {rivbi}.
a'acu'i	cmavo-compound			   	UI*1      	междометие: внимательно - невнимательно - избегающе	См. также {jundi}, {rivbi}.
a'anai	cmavo-compound			   	UI*1      	междометие: внимательно - невнимательно - избегающе	См. также {jundi}, {rivbi}.
abu	bu-letteral			   	BY*      	буквенный символ для a
a'e	cmavo			   	UI1      	междометие: настороженность/бдительность - утомлённость	См. также {sanji}, {cikna}, {tatpi}.
a'enai	cmavo-compound			   	UI*1      	междометие: настороженность/бдительность - утомлённость	См. также {sanji}, {cikna}, {tatpi}.
ai	cmavo			   	UI1      	междометие: намерение - отсутствие решения - нечаянность/ненамеренность/незапланированность	См. также {termu'i}, {terzu'e}, {seljdi}, {selcu'a}.
a'i	cmavo			   	UI1      	междометие: усилие - отсутствие особых усилий - отдых (отсутствие усилия)	См. также {gunka}, {slunandu}, {guksurla}, {troci}, {selprogunka}.
a'icu'i	cmavo-compound			   	UI*1      	междометие: усилие - отсутствие особых усилий - отдых (отсутствие усилия)	См. также {gunka}, {slunandu}, {guksurla}, {troci}, {selprogunka}.
aicu'i	cmavo-compound			   	UI*1      	междометие: намерение - отсутствие решения - отказ/отклонение	См. также {termu'i}, {terzu'e}, {seljdi}, {selcu'a}.
ainai	cmavo-compound			   	UI*1      	междометие: намерение - отсутствие решения - отказ/отклонение	См. также {termu'i}, {terzu'e}, {seljdi}, {selcu'a}.
a'inai	cmavo-compound			   	UI*1      	междометие: усилие - отсутствие особых усилий - отдых (отсутствие усилия)	См. также {gunka}, {slunandu}, {guksurla}, {troci}, {selprogunka}.
a'o	cmavo			   	UI1      	междометие: надежда - отчаяние	См. также {pacna}.
a'oi	experimental cmavo			   	COI      	звательная частица: приветствие в немного пиратской манере	Слово-{u'ivla} от английского "ahoy". См. {xai}, {coi}, {co'oi}, {o'ai}.
a'onai	cmavo-compound			   	UI*1      	междометие: надежда - отчаяние	См. также {pacna}.
au	cmavo			   	UI1      	междометие: желание - равнодушие - отвращение	См. также {djica}.
a'u	cmavo			   	UI1      	междометие: интерес - отсутствие интереса - отвращение	См. также {cinri}, {selcni}.
a'ucu'i	cmavo-compound			   	UI*1      	междометие: интерес - отсутствие интереса - отвращение	См. также {cinri}, {selcni}.
aucu'i	cmavo-compound			   	UI*1      	междометие: желание - равнодушие - отвращение	См. также {djica}.
aunai	cmavo-compound			   	UI*1      	междометие: желание - равнодушие - отвращение	См. также {djica}.
a'unai	cmavo-compound			   	UI*1      	междометие: интерес - отсутствие интереса - отвращение	См. также {cinri}, {selcni}.
ba	cmavo			   	PU      	отношение/направление временного интервала: будет [selbri]; после [sumti]; по умолчанию - будущее время
ba'a	cmavo			   	UI2      	междометие-свидетельство: я ожидаю - я испытываю - я помню	См. также {bavykri}, {lifri}, {morji}.
ba'acu'i	cmavo-compound			   	UI*2      	междометие-свидетельство: я ожидаю - я испытываю - я помню	См. также {bavykri}, {lifri}, {morji}.
ba'anai	cmavo-compound			   	UI*2      	междометие-свидетельство: я ожидаю - я испытываю - я помню	См. также {bavykri}, {lifri}, {morji}.
ba'au	experimental cmavo			   	CUhE      	временной интервал: отсылает к будущему времени относительно рамок настоящего пространства/времени абсолютно	В будущем относительно {nau}
baba	cmavo-compound			   	PU*      	временной интервал: после этого будет [событие]; (интервал/модальное слово)
baca'a	cmavo-compound			   	PU*      	временной интервал: будущая актуальность; модальный аспект
baca'o	cmavo-compound			   	ZAhO*      	временной интервал: будет далее; (интервал/модальное слово)
ba'e	cmavo			   	BAhE      	индикатор эмфазы, акцента в виде последующей мысли; показывает, что следующее слово логически выделяется
bai	cmavo			   	BAI      	модальный предлог от bapli, 1-ое место (вынуждаемый (чем))                принуждаемо (чем); принуждаемо силой, ...
ba'i	cmavo			   	BAI      	модальный предлог от basti, 1-ое место                            заменённый (чем), ...
ba'o	cmavo			   	ZAhO      	контур интервала события: после окончания (чего) ...; с тех пор, как ...; перфект              |     |----
bapu	cmavo-compound			   	PU*      	временной интервал: будет после/будет иметь произошедшим ранее; (интервал/модальное слово)
bau	cmavo			   	BAI      	модальный предлог от bangu, 1-ое место                            на языке, ...
ba'u	cmavo			   	UI3      	междометие-рассуждение: преувеличение - точность - недооценивание	См. также {satci}, {dukse}.
ba'ucu'i	cmavo-compound			   	UI*3      	междометие-рассуждение: преувеличение - точность - недооценивание	См. также {satci}, {dukse}.
ba'unai	cmavo-compound			   	UI*3      	междометие-рассуждение: преувеличение - точность - недооценивание	См. также {satci}, {dukse}.
be	cmavo			   	BE      	sumti-ссылка для присоединения sumti (по умолчанию x_2) к selbri; используется в описаниях; образовывает новый selbri из существующего путем добавления к нему sumti        Пример: {nelci} означает "любить/предпочитать". Добавление {be} с sumti {lo cukta} образовывает новый selbri {nelci be lo cukta}, который означает "любить книги". Соответственно, {lo nelci be lo cukta} будет означать "книголюб". К selbri можно прикреплять более одного sumti. Следующие после {be} sumti прикрепляются с помощью {bei}. Завершается цепочка {be}...{bei}...{bei} терминатором {be'o}
be'a	cmavo			   	FAhA1      	отношение/направление интервала местоположения; к северу от
be'e	cmavo			   	COI      	звательная частица: запрос, чтобы отправить/говорить
bei	cmavo			   	BEI      	отделяет несколько связанных sumti внутри selbri; используется в описаниях
be'i	cmavo			   	BAI      	модальный предлог от benji, 1-ое место (отправитель)                   посланный (кем), ...
be'o	cmavo			   	BEhO      	опускаемый терминатор: оканчивает связанную sumti в специфическом поисании
be'u	cmavo			   	UI5      	модификатор междометия: нехватка/нужда - наличие/удовлетворение - пресыщение	См. также {claxu}, {nitcu}, {mansa}.
be'ucu'i	cmavo-compound			   	UI*5      	модификатор междометия: нехватка/нужда - наличие/удовлетворение - пресыщение	См. также {claxu}, {nitcu}, {mansa}.
be'unai	cmavo-compound			   	UI*5      	модификатор междометия: нехватка/нужда - наличие/удовлетворение - пресыщение	См. также {claxu}, {nitcu}, {mansa}.
bi	cmavo   	-biv-		   	PA1      	цифра/число: 8 (цифра) [восемь]
bi'a	experimental cmavo			   	UI3a      	индикатор эмфазы, логического ударения; показывает, что предыдущее слово логически выделяется	Эквивалент {ba'e}, но в классе UI. См. также {ba'e}
bi'e	cmavo			   	BIhE      	ставится как префикс к mex-оператору, чтобы указать на более высокий приоритет
bi'i	cmavo   	-biz-		   	BIhI      	союз для не-логического интервала: неупорядоченно между ... и ...
biki'o	cmavo-compound			   	PA*      	число/количество: 8,000, выражается с помощью запятой
bimei	cmavo-compound			   	MOI*      	selbri-количественная частица: превращает 8 в количественное selbri; x_1 это множество-октет с членами x_2
bimoi	cmavo-compound			   	MOI*      	количественная selbri: преобразует 8 в порядковую selbri; x_1 - восьмой среди x_2, упорядочиваемых по правилу x_3
bino	cmavo-compound			   	PA*      	число/количество: 80 [восемьдесят]
binono	cmavo-compound			   	PA*      	число/количество: 800 [восемьсот]
binonovo	cmavo-compound			   	PA*      	число/количество: 8004, без запятой-разделителя
bi'o	cmavo			   	BIhI      	союз для не-логического интервала: упорядоченно от ... к ...
bi'u	cmavo			   	UI3a      	междометие-рассуждение: новая представляемая информация - ранее представленная информация	См. также {nindatni}, {saurdatni}.
bi'unai	cmavo-compound			   	UI*3      	междометие-рассуждение: новая представляемая информация - ранее представленная информация	См. также {nindatni}, {saurdatni}.
bo	cmavo   	-bor-		   	BO      	соединитель короткой сферы действия; соединяет различные конструкции с кратчайшей сферой действия и правой группировкой
boi	cmavo			   	BOI      	опускаемый терминатор: завершает последовательность цифр или строку из буквенных символов
bu	cmavo   	-bus-   	-bu'i-	   	BU      	превращает любое отдельное слово в BY
bu'a	cmavo   	-bul-		   	GOhA      	логически количественная предикативная переменная: некое selbri 1
bu'e	cmavo			   	GOhA      	логически количественная предикативная переменная: некое selbri 2
bu'i	cmavo			   	GOhA      	логически количественная предикативная переменная: некое selbri 3
bu'o	cmavo			   	UI7      	контур междометия: начало эмоции - продолжение эмоции - окончание эмоции
bu'ocu'i	cmavo-compound			   	UI*7      	контур междометия: начало эмоции - продолжение эмоции - окончание эмоции
bu'oi	experimental cmavo			   	COI      	восклицание: у-у! (при желании испугать или удивить кого-либо)	Способ шокировать, напугать, удивить кого-то, аналогичный выкрику "У-у!" кому-то.
bu'onai	cmavo-compound			   	UI*7      	контур междометия: начало эмоции - продолжение эмоции - окончание эмоции
bu'u	cmavo			   	FAhA3      	отношение/направление интервала местоположения; совпадая с/в том же самом месте, что и; пространственный эквивалент 'ca'
by	cmavo			   	BY2      	буквенный символ для b
ca	cmavo			   	PU      	отношение/направление временного интервала: является [selbri]; во время/одновременно с [sumti]; настоящее время
ca'a	cmavo   	-caz-		   	CAhA      	модальный аспект: действительность/происходящее в настоящее время событие
caba'o	cmavo-compound			   	ZAhO*      	временной интервал: сейчас после...; (интервал/модальное слово)
caca'a	cmavo-compound			   	PU*      	временной интервал: настоящая действительность; модальный аспект
caca'o	cmavo-compound			   	ZAhO*      	временной интервал: является сейчас/одновременно, сейчас в ходе (чего); (интервал/модальное слово)
ca'e	cmavo			   	UI2      	междометие-свидетельство: я устанавливаю/обозначаю	См. также {mitcu'a}, {mitsmu}.
cai	cmavo			   	CAI      	междометие: модификатор междометия, дающий сильную интенсивность
ca'i	cmavo			   	BAI      	модальный предлог от catni, 1-ое место                            согласно власти/авторитету (кого), по праву (кого), ...
cajeba	cmavo-compound			   	PU*      	временной интервал: сейчас и позже; (интервал/модальное слово)
ca ma	cmavo-compound			   	PU*      	sumti вопрос, спрашивающий о времени/дате/событии; одновременно с чем?
ca'o	cmavo			   	ZAhO      	контур интервала события: в течение ...; прогрессивный вид, изображающий действие в процессе его осуществления во времени; продолжающееся во время                                    |-----|
capu'o	cmavo-compound			   	ZAhO*      	временной интервал: намечается, сейчас вот-вот (начнётся), сейчас ожидается; (интервал/модальное слово)
cau	cmavo			   	BAI      	модальный предлог от claxu, 1-ое место                            с имеющим нехватку (кем), ...
ca'u	cmavo			   	FAhA2      	отношение/направление интервала местоположения; спереди от/в передней части (чего) ...
ce	cmavo   	-cec-		   	JOI      	не-логический союз: ссылка на множество, неупорядоченное; "а также", но формируя множество
ce'a	cmavo			   	LAU      	2-словный буквенный символ/сдвиг: следующее слово имеет новый шрифт (напр., курсив, рукописный шрифт)
ce'ai	experimental cmavo			   	ZOhU      	лямбда-переменная в предварённой мысли; помечает конец введения переменных с лямбда-областью охвата	См. также {zo'u}. В сущности, это слово используется как краткий способ выражения многословных назначений переменных в предварённой мысли с {ka}: lo ka ce'u goi ko'a ce'u goi ko'e ... zo'u ... - это то же самое, что и lo ka ko'a ko'e ... ce'ai ... В любой форме такой стиль может использоваться, чтобы избежать назначения индексов переменным, а также, чтобы снять неоднозначность из-за вложенных {ka}, {ni} и т.п.
ce'e	cmavo			   	CEhE      	связывает термины в множество терминов последующей мысли
cei	cmavo			   	CEI      	назначение переменной к selbri; назначает pro-bridi из серии broda к selbri
ce'i	cmavo   	-cez-		   	PA3      	цифра/число: %, символ процента, тысячи
ce'o	cmavo   	-ce'o-		   	JOI      	не-логический союз: ссылка на упорядоченную последовательность; "и затем" (формируя последовательность)
ce'u	cmavo			   	KOhA8      	псевдо-количественный-определитель, связывающий переменную с абстракцией, которая представляет открытое место
