bacru	gismu   	-ba'u-		      	x_1 pronuncia/dice/verbaliza/vocaliza/hace sonido x_2	Ver también {krixa},  {cusku}.
badna	gismu			      	x_1 es una banana/plátano (fruta) de especie/variedad x_2
badri	gismu   	-dri-		      	x_1 está triste/deprimido/melancólico por x_2 (evento)	Ver también {gleki}.
bajra	gismu   	-baj-		      	x_1 corre sobre superficie x_2 usando miembros x_3 con paso x_4	Ver también {cadzu},  {klama},  {litru},  {stapa}.
bakfu	gismu   	-baf-		      	x_1 es un paquete/bulto/montón de x_2, atado/sostenido por x_3
bakni	gismu   	-bak-		      	x_1 es una vaca/toro/ganado/vacuno/buey de especie/raza x_2
bakri	gismu			      	x_1 es una cantidad de tiza/yeso/creta/marga de origen x_2 en forma x_3
baktu	gismu			      	x_1 es un balde/cubo/tarro/tonel/lata/tinaja/recipiente de boca ancha para contenido x_2, de material x_3	Ver también {botpi},  {patxu},  {tansi}.
balji	gismu			      	x_1 es un bulbo de planta/especie x_2	Ver también {punli}.
balni	gismu			      	x_1 es un balcón/cornisa/estante de edificio/estructura x_2	Ver también {kajna}.
balre	gismu   	-ba'e-		      	x_1 es una hoja de herramienta/arma x_2	Ver también {dakfu}.
balvi	gismu   	-bav-		      	x_1 está en el futuro/luego/más tarde/después/posterior en el tiempo a x_2	Ver también {purci},  {cabna},  {jersi}.
bancu	gismu   	-bac-		      	x_1 excede/sobrepasa/está más allá de/pasando x_2 desde x_3 en propiedad/cantidad x_4	Ver también {dukse},  {ragve}.
bandu	gismu   	-bad-		      	x_1 (evento) defiende/protege/ampara a x_2 de amenaza/peligro potencial x_3 (evento)
banfi	gismu			      	x_1 es un anfibio de especie/raza x_2
bangu	gismu   	-ban-   	-bau-	      	x_1 es un idioma/dialecto/lengua/lenguaje de gente/pueblo/hablante x_2 usado para comunicar x_3
banli	gismu   	-bal-   	-ba'i-	      	x_1 es grandioso en propiedad x_2 según estándar x_3	Ver también {barda},  {nobli},  se {sinma},  {pluja}.
banro	gismu   	-ba'o-		      	x_1 crece/brota/se expande/se desarrolla a tamaño/forma x_2 desde x_3	Ver también {preja},  {farvi},  {zenba}.
banxa	gismu   	-bax-		      	x_1 es un banco propiedad de/en sistema bancario x_2 con funciones x_3 (evento)]
banzu	gismu   	-baz-		      	x_1 alcanza/basta/es suficiente para propósito x_2 bajo condiciones x_3	Ver también {sarcu},  {dukse},  {claxu},  {nitcu}.
bapli	gismu   	-bap-   	-bai-	      	x_1 (evento) fuerza/obliga/compele a que x_2 ocurra	Ver también {jitro},  {rinka},  {krinu},  {zukte}.
barda	gismu   	-bra-		      	x_1 es grande/amplio en propiedad/dimensión x_2 comparado con estándar/norma x_3	Ver también {cmalu}.
bargu	gismu   	-bag-		      	x_1 es un arco/curva sobre x_2 hecho de material x_3
barja	gismu			      	x_1 es una taberna/bar en localidad x_2 que sirve x_3 a clientes x_4	Ver también {gusta}.
barna	gismu   	-ba'a-		      	x_1 es una marca sobre x_2 de material x_3
bartu	gismu   	-bar-		      	x_1 está afuera/exterior/externo/fuera de x_2	Ver también {nenri}.
basna	gismu			      	x_1 enfatiza/acentúa x_2 con acción/énfasis x_3
basti	gismu   	-bas-		      	x_1 reemplaza/sustituye/toma el lugar de x_2 en circunstancia x_3
batci	gismu   	-bat-		      	x_1 muerde/pellizca a x_2 en x_3 con x_4
batke	gismu			      	x_1 es un botón/perilla/manija/tirador en x_2, con propósito x_3, hecho de material x_4
bavmi	gismu			      	x_1 es una cantidad de cebada (grano) de especie/variedad x_2
baxso	gismu			      	x_1 refleja cultura/nacionalidad/idioma bahasa (malayo-indonesio) en aspecto x_2	Ver también {meljo},  {bindo}.
bebna	gismu   	-beb-		      	x_1 es tonto/bobo/idiota/estúpido sobre asunto x_2	Ver también {prije}.
bemro	gismu   	-bem-   	-be'o-	      	x_1 refleja cultura/nacionalidad/geografía centro/norteamericana en aspecto x_2
