a	cmavo			   	A      	conector lógico entre sumti: o
a'a	cmavo			   	UI1      	actitudinal: atención - desatención - evasión	Ver también {jundi},  {rivbi}.
a'acu'i	cmavo-compound			   	UI*1      	actitudinal: atención - desatención - evasión
a'anai	cmavo-compound			   	UI*1      	actitudinal: atención - desatención - evasión
abu	bu-letteral			   	BY*      	letra a
a'e	cmavo			   	UI1      	actitudinal: alerta - agotamiento	Ver también {sanji},  {cikna},  {tatpi}.
a'enai	cmavo-compound			   	UI*1      	actitudinal: alerta - agotamiento
a'i	cmavo			   	UI1      	actitudinal: esfuerzo - ningún esfuerzo especial - reposo	Ver también {gunka},  {slunandu},  {guksurla},  {troci},  {selprogunka}.
ai	cmavo			   	UI1      	actitudinal: intención - indecisión - rechazo/denegación	Ver también {termu'i},  {terzu'e},  {seljdi},  {selcu'a}.
a'icu'i	cmavo-compound			   	UI*1      	actitudinal: esfuerzo - ningún esfuerzo especial - reposo
aicu'i	cmavo-compound			   	UI*1      	actitudinal: intención - indecisión - rechazo/denegación
a'inai	cmavo-compound			   	UI*1      	actitudinal: esfuerzo - ningún esfuerzo especial - reposo
ainai	cmavo-compound			   	UI*1      	actitudinal: intención - indecisión - rechazo/denegación
a'o	cmavo			   	UI1      	actitudinal: esperanza - desesperación	Ver también {pacna}.
a'onai	cmavo-compound			   	UI*1      	actitudinal: esperanza - desesperación
a'u	cmavo			   	UI1      	actitudinal: interés - desinterés - repulsión	Ver también {cinri},  {selcni}.
au	cmavo			   	UI1      	actitudinal: deseo - indiferencia - rechazo	Ver también {djica}.
a'ucu'i	cmavo-compound			   	UI*1      	actitudinal: interés - desinterés - repulsión
aucu'i	cmavo-compound			   	UI*1      	actitudinal: deseo - indiferencia - rechazo
a'unai	cmavo-compound			   	UI*1      	actitudinal: interés - desinterés - repulsión
aunai	cmavo-compound			   	UI*1      	actitudinal: deseo - indiferencia - rechazo
