arktik	cmevla			      	北冰洋
asycy'i'is	cmevla			      	ASCII码	美国信息交换标准码
auskalerik	cmevla			      	巴斯克	和西班牙紧密相关的一个自治地区
babilon	cmevla			      	巴比伦
bacru	gismu   	-ba'u-		      	x_1 说出(发声) x_2	并不暗指存在交流或听众；参见 {krixa}, {cusku}, {casnu}, {tavla}, {voksa}, {pinka}
badna	gismu			      	x_1 是属于种类 x_2 的香蕉	参见 {grute}
badri	gismu   	-dri-		      	x_1因为x_2（某件事或某种抽象的东西）感到不开心、郁闷、闷闷不乐、沮丧、消沉、灰心丧气、哀愁、悲哀、伤心、悲伤或者悲痛	参见{klaku}、{gleki}、{betri}、{cinmo}、{junri}、{uinai}
bajra	gismu   	-baj-		      	x_1在x_2路面上用身体上的x_3以x_4的步态走路或跑步	参见{cadzu}、{klama}、{litru}、{stapa}、{plipe}、{cpare}
bakfu	gismu   	-baf-		      	x_1是把x_2用x_3包装/系起来的一束、一捆、一簇、一串、一丛、一包、一组、一块或者一群东西	参见{daski}（口袋）、{dakli}（包）、{tanxe}（盒子）
bakni	gismu   	-bak-		      	x_1是牛，属于种类x_2	参见 {danlu}
bakri	gismu			      	x_1是白垩（粉笔），或由白垩组成/含有白垩，来自来源x_2，以结构/形式x_3构成	参见 {pinsi}, {blabi}, {jilka}.
baktu	gismu			      	x_1是瓶/罐/瓮（固体，上开口的容器），装有x_2，由材料x_3构成	参见 {botpi}, {patxu}, {tansi}, {lante}, {lanka}.
balji	gismu			      	x_1是球茎，位于植物体/植物种类x_2上	参见 {punli}, {batke}.
balni	gismu			      	x_1是建筑物x_2上的阳台/突出的部分	参见 {kajna}.
balre	gismu   	-ba'e-		      	x_1是刀锋/刃，位于工具/武器x_2上	参见 {dakfu}, {tunta}, {tutci}, {guska}, {kinli}, {katna}.
balvi	gismu   	-bav-		      	在时间顺序上，x_1在x_2之后/未来；x_1是后来的；x_2是过去的	也指“后续”；只用于形容时间（其它的顺序比较使用{lidne}）；参见 {lidne}, {cabna}, {purci}, {farna}
bambu	experimental gismu			      	x_1是竹，属于种类x_2	参见{spati},{tricu}
bancu	gismu   	-bac-		      	x_1超越/超过限制/界限x_2，由原来的位置/水平x_3，在数量/性质x_4（ka/ni）上	不一定是物理上的超越；不一定超越过程中会交叉/相遇；参见 {dukse}, {ragve}, {zmadu}, {kuspe}
bandu	gismu   	-bad-		      	x_1（事件）守卫/保护x_2（物体/形态），免受x_3（事件）的威胁/伤害/潜在攻击	也指“拯救”；x_1抵抗x_3；护盾={badgai}；参见 {ckape}, {fanta}, {fapro}, {marbi}, {rivbi}, {zunti}, {snura}, {binra}, {lunbe}, {pulji}
banfi	gismu			      	x_1是两栖动物，属于物种x_2	参见 {danlu}, {respa}.
bangu	gismu   	-ban-   	-bau-	      	x_1 是语言/方言, 被x_2 使用, 用于表达/交流x_3 .
banli	gismu   	-bal-   	-ba'i-	      	x_1是伟大的，在性质x_2（ka）上，依据标准x_3	此伟大是指主观上，客观上的“大”={barda}；也指（可能需要tanru）：了不起/太厉害了等；参见 {barda}, {nobli}, {se} {sinma}, {pluja}, {misno}, {vajni}, {fasnu}, {cizra}, {traji}, {mutce}, {se} {manci}
banro	gismu   	-ba'o-		      	x_1成长/扩张到规模/面积/大小x_2，由原规模/面积/大小x_3	也指：上升/发展；参见{farvi}, {zenba}, {jmina}, {barda}, {makcu}, {ferti}
banxa	gismu   	-bax-		      	x_1是银行，被x_2拥有/处于银行系统x_2中，目的是为了实现银行业务/目的x_3（事件）	参见 {sorcu}, {zarci}, {canja}, {kagni}.
banzu	gismu   	-baz-		      	x_1 (对象)是足够/充分的，为目的 x_2 ,在境况 x_3下.
bapli	gismu   	-bap-   	-bai-	      	x_1（力，ka）强迫/逼迫事件x_2发生；x_1决定了性质x_2的出现/显现	也指：驱使，但需要成功驱使；参见 {fanta}, {rinju}, {jimte}, {jitro}, {rinka}, {krinu}, {zukte}, {randa}, {danre}, {bai}, {marxa}, {tinsa}, {xarnu}
barda	gismu   	-bra-		      	x_1 是大的，从 x_2 的角度来说，与 x_3 相比。	参见： {banli}, {clani}, {ganra}, {condi}, {plana}, {cmalu}, {rotsu}, {banro}, {xanto}.
bargu	gismu   	-bag-		      	x_1是向着/绕着x_2弯曲的，并且由x_3制造；x_1是绕x_2的拱形/弓形，且由x_3制造	也指：弧； x_2不必要是指实际的物体，也可能指一个点；参见 {cripu}, {kruvi}, {korcu}, {condi}
barja	gismu			      	x_1是酒馆/酒吧，提供x_2服务给顾客x_3	参见 {gusta}, {birje}, {jikru}, {sanmi}, {vanju}, {xotli}, {ckafi}, {se} {pinxe}.
barna	gismu   	-ba'a-		      	x_1 是标记/斑点，位于x_2上，由x_3材料构成	图案标记={ba'armo'a}；参见 {sinxa}, {pixra}, {se} {ciska}, {se} {prina}
barselonas	cmevla			      	巴塞罗那
bartu	gismu   	-bar-		      	x_1在x_2之外；x_1是x_2外部的	参见 {jibni}, {nenri}, {sruri}, {lamji}, {korbi}, {calku}, {vasru}.
basfa	experimental gismu			      	x_1是公共汽车，为了运输x_2，在媒介/道路x_3上，由x_4驱动	即：{sorprekarce}； {pavloibasfa}=单层巴士； {relyloibasfa}=双层巴士； {jonbasfa}=节式巴士（有多节车厢）
basna	gismu			      	x_1强调/重点论述什么给x_2通过行动/行为x_3	也指音节的“重读”；参见 {pandi}
basti	gismu   	-bas-		      	x_1取代/替代x_2，在环境/条件/场景x_3中；x_1是替代品	也指：x_1与x_2交换位置；参见 {ba'i}, {binra}
batci	gismu   	-bat-		      	x_1咬/钳/勒紧x_2，在特定的部位x_3，用的工具/道具是x_4	咬穿={ka'arbatci}/{batygre}；勒/钳={cinzybatci}；参见 {denci}, {jgalu}, {guska}, {citka}.
batke	gismu			      	x_1是纽扣/扣子，位于物体x_2上/属于物体x_2，为了目的/功能x_3，由材料x_4制成	参见 {jadni}, {balji}, {punji}, {jgari}, {lasna}.
bavmi	gismu			      	x_1是一定数量的大麦，属于种族/种类x_2	参见{gurni}
baxso	gismu			      	x_1是有关于马来—印度尼西亚共同语言/文化的内容/事物，在x_2方面	参见 {meljo}, {bindo}.
bebna	gismu   	-beb-		      	x_1是愚蠢的，在时间/行为/性质（ka）x_2上；x_1是个傻瓜/白痴/弱智	参见 {fenki}, {xajmi}, {prije}, {fliba}.
beiDJIN	cmevla			      	北京
bekpi	experimental gismu			      	x_1是背部，属于身体部位x_2	此背部不一定是在身体部位的后面，而应该由身体本身的结构决定；对照参见{trixe},{cutne}
bemro	gismu   	-bem-   	-be'o-	      	x_1是关于北美洲文化/所在地/地理特性等的事物，在x_2方面	参见 {merko}, {kadno}, {xispo}, {mexno}
bende	gismu   	-bed-   	-be'e-	      	x_1是一个团队/队伍/帮派/组织，由成员x_2构成，被x_3指挥/带领/领导，为了目的x_4而存在/组建	x_2是一个完全确定的集合；乐队={zgibe'e}；x_3可以指乐队指挥，不一定指乐队经理人（={cajbe'e})；参见{gunma}, {girzu}, {dansu}, {jatna}, {jitro}, {kagni}, {kamni}, {minde}, {ralju}, {cecmu}, {gidva}
bengo	gismu   	-beg-		      	x_1是关于孟加拉的/孟加拉国的文化/国家/语言等的事物，在x_2方面	参见{xindo}
benji	gismu   	-bej-   	-be'i-	      	x_1赠送/传递/发送/传送x_2给接受者x_3，来源于x_4，通过方法/媒介/载体x_5	也指“分享”；不暗示所有权的转移；参见 {muvdu}, {dunda}, {mrilu}, {nirna}, {xruti}, {cradi}, {tivni}, {preja}, {be'i}, {bevri}, {mrilu}, {tcana}
benzo	experimental gismu			      	x_1 是 x_2 类型的芳香烃
bersa	gismu   	-bes-   	-be'a-	      	x_1是x_2的儿子（不必要指生物学上的关系）	参见 {verba}, {nanla}, {nakni}, {nanmu}, {patfu}, {mamta}, {bruna}, {rirni}, {rorci}, {panzi}, {tixnu}
berti	gismu   	-ber-		      	x_1是在x_2北方/x_1是北方，方向的参考系为x_3	参见 {snanu}, {stici}, {stuna}, {farna}
besna	gismu   	-ben-		      	x_1是x_2的大脑/脑组织；（可喻为：智力，意志力等）	参见 {menli}, {stedu}, {rango}, {pensi}
