a	cmavo   \nA      \nlogical connective: sumti afterthought or.
a'a	cmavo   \nUI1      \nattitudinal: attentive - inattentive - avoiding.\nSee also {jundi}, {rivbi}.
a'acu'i	cmavo-compound   \nUI*1      \nattitudinal: attentive - inattentive - avoiding.
a'anai	cmavo-compound   \nUI*1      \nattitudinal: attentive - inattentive - avoiding.
a'au	experimental cmavo   \nUI1      \nattitudal: moved deeply - unimpressive\nemotionally moved deeply (not only positive means). using express complexed/unexplainable emotion.
abata'adj	cmevla      \nthe alphabetic order used in Arabic and derivative alphabets\nSee also {sepo'i}, {abgad}, {e'elxam}.
abgad	cmevla      \nthe alphabetic order used in Northwest Semitic languages and derivative alphabets\nSee also {sepo'i}, {e'elxam}, {abata'adj}.
abniena	obsolete fu'ivla      \nx_1 is Guaraní in aspect x_2.\nsee also {niengatu}
abu	bu-letteral   \nBY*      \nletteral for a.
acaman	cmevla      \nAsha'man (rank/organization)\nThe name/word is used in several different ways over the course of the series. This word can mean any of them, depending on context. See also:  {sa'ydin},  {sedais},  {altfor}, {makfa}
aclotlu	fu'ivla      \nx_1 is an axolotl of species/breed x_2
admine	fu'ivla      \nx_1 administers/administrates/is an administrator of x_2
advarka	fu'ivla      \nx_1 is an aardvark (Orycteropus afer) of variety x_2\nSee {mabru}
adverbi	fu'ivla      \nx_1 is an adverbial adjunct (adverb or adverbial clause) meaning x_2 in language x_3\nIn Lojban, this category encompasses NAKU, sumtcita and soi/xoi clauses. See also {adverbivla}.
adverbivla	fu'ivla      \nx_1 is an adverb (word class) meaning x_2 in language x_3\nSee {adverbi}.
adzau	fu'ivla      \nx_1 upvotes-or-downvotes x_2 in system x_3\n= {ma'udzau} {jonai} {ni'udzau}. Refers to systems (chiefly on the Internet) that keep a running tally of approval-votes, and sometimes disapproval-votes as well.
a'e	cmavo   \nUI1      \nattitudinal: alertness - exhaustion.\nSee also {sanji}, {cikna}, {tatpi}.
a'ei	experimental cmavo   \nUI1      \nattitudinal: appeal/call/invocation/summoning\nCompare {e'u} - 'suggestion'
a'enai	cmavo-compound   \nUI*1      \nattitudinal: alertness - exhaustion.
aftobuso	fu'ivla      \nx_1 is a bus/coach for carrying passengers x_2, propelled by x_3\nSee also {sorprekarce}, {sorpeka}, {trene}, {taksi}. For denoting passengers, engine, towns and cities etc. used in combination with {karce}, {carce}, {marce}, {tcadu}.
aftostopi	fu'ivla      \nx_1 hitch-hikes x_2 (vehicles)
agbakate	fu'ivla      \nx_1 is an avocado (fruit or tree) of species/variety x_2.
agmasto	fu'ivla      \nx_1 is a mast of a ship x_2\nSee also {bloti}
agnikutco	fu'ivla      \nx_1 pertains to Tocharian (easternmost known Indo-European speaking) culture in aspect x_2
ai	cmavo   \nUI1      \nattitudinal: intent - indecision - rejection/refusal.\nSee also {termu'i}, {terzu'e}, {seljdi}, {selcu'a}.
a'i	cmavo   \nUI1      \nattitudinal: effort - no special effort - repose.\nSee also {gunka}, {slunandu}, {guksurla}, {troci}, {selprogunka}.
a'icu'i	cmavo-compound   \nUI*1      \nattitudinal: effort - no special effort - repose.
aicu'i	cmavo-compound   \nUI*1      \nattitudinal: intent - indecision - rejection/refusal.
aidji	fu'ivla      \nx_1 intends to do/be x_2 (ka).\nFrom {ai} and {djica}.
aigne	fu'ivla      \nx_1 is an eigenvalue (or zero) of linear transformation/square matrix x_2, associated with/'owning' all vectors in generalized eigenspace x_3 (implies neither nondegeneracy nor degeneracy; default includes the zero vector) with 'eigenspace-generalization' power/exponent x_4 (typically and probably by cultural default will be 1), with algebraic multiplicity (of eigenvalue) x_5\nFor any eigenvector v in generalized eigenspace x_3 of linear transformation x_2 for eigenvalue x_1, where I is the identity matrix/transformation that works/makes sense in the context, the following equation is satisfied: ((x_2 - x_1 I)^{x_4})v = 0. When the argument of x_4 is 1, the generalized eigenspace x_3 is simply a strict/simple/basic eigenspace; this is the typical (and probable cultural default) meaning of this word. x_4 will typically be restricted to integer values k &gt; 0. x_2 should always be specified (at least implicitly by context), for an eigenvalue does not mean much without the linear transformation being known. However, since one usually knows the said linear transformation, and since the basic underlying relationship of this word is &quot;eigen-ness&quot;, the eigenvalue is given the primary terbri (x_1). When filling x_3 and/or x_4, x_2 and x_1 (in that order of importance) should already be (at least contextually implicitly) specified. x_3 is the set of all eigenvectors of linear transformation x_2, endowed with all of the typical operations of the vector space at hand. The default includes the zero vector (else the x_3 eigenspace is not actually a vector space); normally in the context of mathematics, the zero vector is not considered to be an eigenvector, but by this definition it is included. Thus, a Lojban mathematician would consider the zero vector to be an (automatic) eigenvector of the given (in fact, any) linear transformation (particularly ones represented by a square matrix in a given basis). This is the logically most basic definition, but is contrary to typical mathematical culture. This word implies neither nondegeneracy nor degeneracy of eigenspace x_3. In other words there may or may not be more than one linearly independent vector in the eigenspace x_3 for a given eigenvalue x_1 of linear transformation x_2. x_3 is the unique generalized eigenspace of x_2 for given values of x_1 and x_4. x_1 is not necessarily the unique eigenvalue of linear transformation x_2, nor is its multiplicity necessarily 1 for the same. Beware when converting the terbri structure of this word. In fact, the set of all eigenvalues for a given linear transformation x_2 will include scalar zero (0); therefore, any linear transformation with a nontrivial set of eigenvalues will have at least two eigenvalues that may fill in terbri x_1 of this word. The 'eigenvalue' of zero for a proper/nice linear transformation will produce an 'eigenspace' that is equivalent to the entire vector space at hand. If x_3 is specified by a set of vectors, the span of that set should fully yield the entire eigenspace of the linear transformation x_2 associated with eigenvalue x_1, however the set may be redundant (linearly dependent); the zero vector is automatically included in any vector space. A multidimensional eigenspace (that is to say a vector space of eigenvectors with dimension strictly greater than 1) for fixed eigenvalue and linear transformation (and generalization exponent) is degenerate by definition. The algebraic multiplicity x_5 of the eigenvalue does not entail degeneracy (of eigenspace) if greater than 1; it is the integer number of occurrences of a given eigenvalue x_1 in the multiset of eigenvalues (spectrum) of the given linear transformation/square matrix x_2. In other words, the characteristic polynomial can be factored into linear polynomial primes (with root x_1) which are exponentiated to the power x_5 (the multiplicity; notably, not x_4). For x_4 &gt; x_5, the eigenspace is trivial. x_2 may not be diagonalizable. The scalar zero (0) is a naturally permissible argument of x_1 (unlike some cultural mathematical definitions in English). Eigenspaces retain the operations and properties endowing the vectorspaces to which they belong (as subspaces). Thus, an eigenspace is more than a set of objects: it is a set of vectors such that that set is endowed with vectorspace operators and properties. Thus {klesi} alone is insufficient. But the set underlying eigenspace x_3 is a type of {klesi}, with the property of being closed under linear transformation x_2 (up to scalar multiplication). The vector space and basis being used are not specified by this word. Use this word as a seltau in constructions such as &quot;eigenket&quot;, &quot;eigenstate&quot;, etc. (In such cases, {te} {aigne} is recommended for the typical English usages of such terms. Use {zei} in lujvo formed by these constructs. The term &quot;eigenvector&quot; may be rendered as {cmima} {be} {le} {te} {aigne}). See also {gei'ai}, {klesi}, {daigno}
ainai	cmavo-compound   \nUI*1      \nattitudinal: intent - indecision - rejection/refusal.
a'inai	cmavo-compound   \nUI*1      \nattitudinal: effort - no special effort - repose.
aiste	fu'ivla      \nx_1=l_1 is a to-do-list for x_2; x_1=l_1 is a list of things that x_2 intends to do\nFrom {ai} and {liste}. Compare {aidji}, {zukte}, {eiste}
aitco	fu'ivla      \nx_1 Armenian in aspect x_2\nSee also {kafkaso}, {kartuli}.
aitxero	fu'ivla      \nx_1 is ethereal/the ether\nFrom the Latin &quot;aetherius&quot; and the Greek &quot;αἰθήρ&quot;. Is the element that was supposed to fill the void above the terrestrial sphere.
ai'y	experimental cmavo   \nBY      \nletteral for i when ending a diphthong (ai, ei, oi), sometimes written as ị
aizdo	fu'ivla      \nx_1 is woad of species/variety x_2.
akcoloti	fu'ivla      \nx_1 is an axolotl (Ambystoma mexicanum)
akmela	fu'ivla      \nx_1 is a toothache plant/spotflower/paracress of species/variety x_2.
akrobat	cmevla      \nacrobat
aksiptrina	fu'ivla      \nx_1 is a hawk of species/type x_2\nSubfamily Acciptrinae
akti	fu'ivla      \nx_1 is running service/in operation/performs functions x_2; x_1 is &quot;turned on&quot;, working, acting, active, in action\nSee also {ca'a} se {pilno}, {tolspofu}, {na'akti}, {aktigau}
aktigau	fu'ivla      \nx_1 turns on / activates x_2\nSee {akti}, {na'akti}, {na'aktigau}, {narca'acadgau}
alba'aka	fu'ivla      \nx_1 is basil of species/variety x_2.\nsyn. {spatrbasiliko}
albatro	fu'ivla      \nx_1 is an albatross [member of the family Diomedeidae] of species/breed x_2\nSee {cipni}
albuma	fu'ivla      \nx_1 is an album, group of x_2 intended for storage and distribution as a group
alcamacrike	fu'ivla      \nx_1 pertains to/reflects Levant/Mashriq/al-Shaam/Shumm (eastern Mediterranean, northeast African, western Asian, western Middle Eastern; Mediterranean littoral region, Fertile Crescent subregion) culture/nationality/geography/history/character in aspect x_2\nx2 can also be used to define how the term is being used (since the definition has been historically variable and vague). See also: {lusto} , {gomsi}, {ckenderu}.
aldeia	fu'ivla      \nx_1 is a village
alfabeta	fu'ivla      \nx_1 is an alphabet used to write x_2.\nsee also {selyle'u}, {fu'arka}, {anbani}, {abgida}, {abjadu}, {snile'u}
alga	fu'ivla      \nx_1 is an alga of species x_2
algoritma	fu'ivla      \nx_1 (event) is an algorithm, procedure, recipe, rule or procedure often useful to achieve result x_2 (event)
alkanse	fu'ivla      \nx_1 is a scope of influence of x_2\nSee {se} {kuspe}
