agmasto	fu'ivla      \nx_1 estas masto de ŝipo x_2\nRigardu ankaŭ {bloti}
aufklerunge	fu'ivla      \nx_1 (procezo/koncepto) estas klerismo laŭ filozofio x_2
bacru	gismu   \n-ba'u-      \nx_1 eldiras buŝe/diras/parolas [pervoĉe faras sonon] x_2\n[ankaŭ: voĉi; ne necese implicas komunikon aŭ aŭdanton; ('diri' ĝenerale estas cusku)]; (Vidu ankaŭ: krixa, cusku, casnu, tavla, voksa, pinka.)
badna	gismu      \nx_1 estas banano/bananarbo [frukto/planto] de speco/raso x_2\nVidu ankaŭ&quot;grute&quot;.
badri	gismu   \n-dri-      \nx_1 estas malĝoja/malgaja/trista/depremita pri x_2\nVidu ankaŭ klaku, gleki, betri, cinmo, junri
bajra	gismu   \n-baj-      \nx_1 kuras sur supraĵo x_2 per membroj x_3 kun irmaniero x_4\nVidu ankaŭ {cadzu}, {klama}, {litru}, {stapa}, {plipe}, {cpare}.
bakfu	gismu   \n-baf-      \nx_1 estas pako/fasko [formo] da x_2 ligitaj per x_3\nVidu ankaŭ {daski}, {dakli}, {tanxe}.
bakni	gismu   \n-bak-      \nx_1 estas bovo de speco/raso x_2\nVidu ankaŭ {danlu}.
bakri	gismu      \nx_1 estas kvanto da/enhavas/konsistas el kreto el fonto x_2 en formo x_3\nVidu ankaŭ {pinsi}, {blabi}, {jilka}.
baktu	gismu      \nx_1 estas sitelo/profunda, solida ujo kun larĝa supro, enhavanta x_2-on, el materialo x_3\nVidu ankaŭ {botpi}, {patxu}, {tansi}, {lante}, {lanka}.
balji	gismu      \nx_1 estas bulbo [korpoparto] de planto/speco x_2; [metafore: ronda, elŝvelinta]\nVidu ankaŭ {punli}, {batke}.
balnema	fu'ivla      \nx_1 estas baleno (Balaenidae) de specio x_2\nRigardu {orka}
balni	gismu      \nx_1 estas balkono/breto de konstruaĵo/strukturo x_2\nVidu ankaŭ {kajna}.
balre	gismu   \n-ba'e-      \nx_1 estas klingo de ilo/armilo x_2\nVidu ankaŭ {dakfu}, {tunta}, {tutci}, {guska}, {kinli}, {katna}.
balvi	gismu   \n-bav-      \nx_1 estas en la estonteco de/post x_2 en tempo-sinsekvo; x_1 estas posta; x_2 estas antaŭa\nAnkaŭ: sekvaĵo, sekvi, sukcedi, okazi poste; nur tempo-ordo (uzu lidne alie); aorista en tio, ke x_1 povas tempe interkovri x_2-on dum ĝi etendiĝas posten; neaorista estonteco (= {cfabalvi}); (defaŭlto x_2 estas la spaco-tempa referenco, do:) x_1 okazos.  Vidu ankaŭ {lidne}, {cabna}, {purci}, {farna}.
bancu	gismu   \n-bac-      \nx_1 superas/estas trans/preter/pli malproksime ol limo x_2 de x_3 en kvalito/kvanto x_4 (ka/ni)\nJe la alia flanko de limo, sed ne nepre rekte 'trans' ĝi nek je la plej mallonga supozebla distanco (per ragve); ankaŭ ne limigita al spaca pozicio.  Vidu ankaŭ {dukse}, {ragve}, {zmadu}, {kuspe}.
bandu	gismu   \n-bad-      \nx_1 (okazo) defendas/protektas x_2-on (objekto/stato) de minaco/danĝero x_3 (okazo)\nAnkaŭ: sekurigi; x_1 fortenas/rezistas x_3-on; protekta kovrilo/ŝirmilo (= {badgai}).  Vidu ankaŭ {ckape}, {fanta}, {fapro}, {marbi}, {rivbi}, {zunti}, {snura}, {binra}, {lunbe}, {pulji}.
banfi	gismu      \nx_1 estas amfibio de speco/raso x_2\nVidu ankaŭ {danlu}, {respa}.
bangu	gismu   \n-ban-   \n-bau-      \nx_1 estas lingvo/dialekto uzata de x_2 por esprimi/komuniki x_3-on (si'o/du'u, ne citaĵo)\nVidu ankaŭ {tance}, {cusku}, ve {tavla}, {valsi}, {gerna}, {jufra}, {natmi}, {slaka}.
