bacru	gismu   \n-ba'u-      \nx_1 ytrer verbalt/sier/uttaler/artikulerer [lager lyd med stemmen] x_2
badna	gismu      \nx_1 er en banan av type/art x_2\nSe også {grute}, {jupybadna}.
badri	gismu   \n-dri-      \nx_1 er trist/lei seg/deprimert/nedfor/føler sorg angående x_2 (abstraksjon)\nSe også {betri}, {cinmo}, {gleki}, {junri}, {klaku}.
bajra	gismu   \n-baj-      \nx_1 springer på underlag x_2 med kroppsdeler x_3 og ganglag x_4\nSe og {cadzu}, {klama}, {litru}, {stapa}, {plipe}, {cpare}.
bakfu	gismu   \n-baf-      \nx_1 er en bunt/pakke med innhold x_2, holdt sammen av x_3\nSe også {dakli}, {daski} og {tanxe}.
bakni	gismu   \n-bak-      \nx_1 er en ku/okse/storfe/[kalv] av art x_2\nSe også {danlu}.
bakri	gismu      \nx_1 er en mengde/inneholder/er laget av kalk fra kilde x_2 i form x_3\nSe også {blabi}, {jilka} og {pinsi}.
baktu	gismu      \nx_1 er en bøtte/kanne/spann med innhold x_2, laget av materiale x_3\nSe også {botpi}, {lanka}, {lante}, {patxu} og {tansi}.
balji	gismu      \nx_1 er en løk [del] av plante/art x_2; [metafor: svullen, avrundet]\nSe også {batke}, {punli}.
balni	gismu      \nx_1 er en balkong/veranda/overheng/hylle på bygning/struktur x_2\nSe også {kajna}, {punli}.
balre	gismu   \n-ba'e-      \nx_1 er bladet/klingen på våpen/redskap x_2\nSe også {dakfu}, {tunta}, {tutci}, {guska}, {kinli}, {katna}.
balvi	gismu   \n-bav-      \nx_1 er fremtidig for/senere enn/etter x_2 i tid; x_1 er senere; x_2 er tidligere.\nOgså sekvens, følge, komme etter. x_1 kan overlappe x_2, så lenge x_2 varer i ettertid av x_1. Se og {lidne}, {cabna}, {purci}, {farna}, {lerci}, {ba}.
bancu	gismu   \n-bac-      \nx_1 strekker seg utenfor/utover grensen av x_2 fra x_3 i egenskap/mengde x_4 (ka/ni)\nPå den andre senden av en grense, men ikke nødvendigvis direkte på andre siden av eller den kortest mulige distansen over grensen. Heller ikke bundet til posisjon i rom. Se og {dukse}, {ragve}, {zmadu}, {kuspe}, {korbi}, {jimte}, {fe'eba'o}.
bandu	gismu   \n-bad-      \nx_1 (hendelse) beskytter/forsvarer/sikrer x_2 (object/tilstand) fra trussel/fare x_3 (hendelse)\nSikrer også (verb); x_1 motstår x_3; beskyttende skjold/dekke (={badgai}). Se også binra, {ckape}, {fanta}, {fapro}, {lunbe}, {marbi}, {rivbi}, {pulji}, {snura}, {zunti}.
banfi	gismu      \nx_1 er en amfibie av art x_2\nSe også {danlu} og {respa}.
bangu	gismu   \n-ban-   \n-bau-      \nx_1 er et språk/en dialekt/språket/dialekten brukt av x_2 for å uttrykke/kommunisere x_3 (si'o/du'u, ingen sitering)\nBrukes også om språk. Se også {cusku}, {gerna}, {jufra}, {natmi}, {slaka}, {tance}, ve {tavla}, {valsi}.
banli	gismu   \n-bal-   \n-ba'i-      \nx_1 er stor i egenskap x_2 (ka) etter standard x_3\nIndikerer en subjektiv storhet, i sammenligning med den objektive standarden hos {barda}; (synonymer som trolig trenger tanru): ekstraordinær, fantastisk, grandios, utmerket, emminent. Se også {barda}, {nobli}, se {sinma}, {pluja}, {misno}, {vajni}, {fasnu}, {cizra}, {traji}, {mutce}, se {manci}.
banro	gismu   \n-ba'o-      \nx_1 vokser/ekspanderer/blir større [en økende utvikling] til størrelse/form x_2 fra x_3\nOgså stigning, utvikling; x_1 blir større; Se også {farvi}, {zenba}, {jmina}, {barda}, {makcu}, {ferti}.
banxa	gismu   \n-bax-      \nx_1 er en bank eid av/i banksystem x_2 for bankfunksjon(er) x_3 (hendelse)\nSe også {sorcu}, {zarci}, {canja}, {kagni}, {zivle}, {jdini}, {jbera}.
banzu	gismu   \n-baz-      \nx_1 (objekt) er er nok/tilstrekkelig for formål x_2, under forhold x_3\nSe også {dukse}, {claxu}, {nitcu}, {ricfu}, {curmi}.
bapli	gismu   \n-bap-   \n-bai-      \nx_1 [kraft] (ka) tvinger hendelse x_2 til å skje; x_1 avgjør at egenskap x_2 skal manifestere seg\nEr avhengig av suksess i motsetningen til den fysiske termen som bedre uttykkes med 'danre'. Se også {fanta}, {rinju}, {jimte}, {jitro}, {rinka}, {krinu}, {zukte}, {randa}, {danre}, cmavo-liste {bai}, {marxa}, {tinsa}, {xarnu}.
barda	gismu   \n-bra-      \nx_1 er stor i egenskap/dimensjon(er) x_2 (ka) sammenlignet med standard/norm x_3\nSe også {banli}, {clani}, {ganra}, {condi}, {plana}, {cmalu}, {rotsu}, {banro}, {xanto}.
bargu	gismu   \n-bag-      \nx_1 kurver/krummer seg over/rundt x_2 og er laget av x_3; x_1 er en kurve over/rundt x_2 av materiale x_3\nx_2 trenger ikke være et object, det kan også være et punkt eller et volum. Se også {{cripu}}, {{kruvi}}, {{korcu}}, {{condi}}.
barja	gismu      \nx_1 er en bar/pub/kro som serverer x_2 til gjester/klientell x_3\nSe også {gusta}, {birje}, {jikru}, {sanmi}, {vanju}, {xotli}, {ckafi}, og {pinxe}.
barna	gismu   \n-ba'a-      \nx_1 er merker/flekker på x_2 av materiale x_3
bartu	gismu   \n-bar-      \nx_1 er på utsiden av x_2; x_1 er eksternt i forhold til x_2\nSe også {jibni}, {nenri}, {sruri}, {lamji}, {korbi}, {calku}, {vasru}, {cmima}, {gubni}, {bancu}, {ze'o}.
basna	gismu      \nx_1 uthever/tydeliggjør/gir trykk til x_2 ved (handling) x_3\nSe også {pandi} og {ba'e}.
basti	gismu   \n-bas-      \nx_1 overtar plassen til/er substitutt for/i stedet for x_2 under forhold/situasjon x_3; x_1 er et substitutt\nSe også cmavo-liste {ba'i}, {binra}.
batci	gismu   \n-bat-      \nx_1 biter/klemmer/trykker på x_2 ved spesifikt punkt x_3 med x_4\nSe også {denci}, {jgalu}, {guska}, {citka}, {jgari}, {zalvi}, {cinza}, {katna}.
batke	gismu      \nx_1 er en knapp/knott/[håndtak] på/for objekt x_2, med formål/funksjon x_3, laget av materiale x_4\nSe også {jadni}, {bidju}, {balji}, {punji}, {jgari}, {lasna}, {lafti}, {lacpu}.
bavmi	gismu      \nx_1 er en mengde bygg [korn] av type/stamme x_2\nSe også {gurni}.
baxso	gismu      \nx_1 reflekterer felles malaysisk og indonesisk kultur/språk i aspekt x_2\nSe også {meljo}, {bindo}.
