a	cmavo   \nA      \nлогический союз: последующая мысль в sumti: 'или'
a'a	cmavo   \nUI1      \nмеждометие: внимательно - невнимательно - избегающе\nСм. также {jundi}, {rivbi}.
a'acu'i	cmavo-compound   \nUI*1      \nмеждометие: внимательно - невнимательно - избегающе\nСм. также {jundi}, {rivbi}.
a'anai	cmavo-compound   \nUI*1      \nмеждометие: внимательно - невнимательно - избегающе\nСм. также {jundi}, {rivbi}.
abu	bu-letteral   \nBY*      \nбуквенный символ для a
a'e	cmavo   \nUI1      \nмеждометие: настороженность/бдительность - утомлённость\nСм. также {sanji}, {cikna}, {tatpi}.
a'enai	cmavo-compound   \nUI*1      \nмеждометие: настороженность/бдительность - утомлённость\nСм. также {sanji}, {cikna}, {tatpi}.
aftobuso	fu'ivla      \nx_1 - это автобус для перевозки x_2 (пассажиров) на x_3 (двигателе, движке, движущей силе)\nСм. также {sorprekarce}, {sorpeka}, {karce}, {trene}
agmasto	fu'ivla      \nx_1 - это мачта корабля x_2\nСм. {bloti}
ai	cmavo   \nUI1      \nмеждометие: намерение - отсутствие решения - нечаянность/ненамеренность/незапланированность\nСм. также {termu'i}, {terzu'e}, {seljdi}, {selcu'a}.
a'i	cmavo   \nUI1      \nмеждометие: усилие - отсутствие особых усилий - отдых (отсутствие усилия)\nСм. также {gunka}, {slunandu}, {guksurla}, {troci}, {selprogunka}.
a'icu'i	cmavo-compound   \nUI*1      \nмеждометие: усилие - отсутствие особых усилий - отдых (отсутствие усилия)\nСм. также {gunka}, {slunandu}, {guksurla}, {troci}, {selprogunka}.
aicu'i	cmavo-compound   \nUI*1      \nмеждометие: намерение - отсутствие решения - отказ/отклонение\nСм. также {termu'i}, {terzu'e}, {seljdi}, {selcu'a}.
ainai	cmavo-compound   \nUI*1      \nмеждометие: намерение - отсутствие решения - отказ/отклонение\nСм. также {termu'i}, {terzu'e}, {seljdi}, {selcu'a}.
a'inai	cmavo-compound   \nUI*1      \nмеждометие: усилие - отсутствие особых усилий - отдых (отсутствие усилия)\nСм. также {gunka}, {slunandu}, {guksurla}, {troci}, {selprogunka}.
aitco	fu'ivla      \nx_1 - армянский в аспекте x_2\nСм. также {kafkaso}, {kartuli}.
aitxero	fu'ivla      \nx_1 - это эфир/эфирный (всемирная среда)\nОт латинского &quot;aetherius&quot; и греческого &quot;αἰθήρ&quot;. Промежуточная среда, заполняющая всю пустоту над сферой земли.
akcoloti	fu'ivla      \nx_1 - это аксолотль  (Ambystoma mexicanum)\nСм. {respa}
akti	fu'ivla      \nx_1 выполняет функции/выполняет операцию x_2; x_1 - функционирующий, действующий, активный, работает\nСм. также {ca'a} se {pilno}, {tolspofu}
aleksandras	cmevla      \nАлександра (русское женское имя)
aleksandyr	cmevla      \nАлександр (русское мужское имя)
alekSEIS	cmevla      \nАлексей (русское мужское имя)
algoritma	fu'ivla      \nx_1 (событие) - это алгоритм, процедура, рецепт или правило, обычное необходимое для достижения результата x_2 (событие)\nСм. {tadji}
alinas	cmevla      \nАлина (русское женское имя)
alionas	obsolete cmevla      \nАлёна (русское женское имя)
alisas	cmevla      \nАлиса (русское женское имя)
alpaka	fu'ivla      \nx_1 - это альпака, пака (Lama pacos) породы x_2\nСм. {kumte}
ambulance	fu'ivla      \nx_1 - это машина скорой медицинской помощи, первозящая x_2 (больных)\nx_1 - это машина скорой медицинской помощи, которая перевозит пбольных или раненых в больницу. См. {bilma}, {spita}
amfora	fu'ivla      \nx_1 - это амфора, содержащая x_2\nСм. {patxu}
amgidala	fu'ivla      \nx_1 - миндалина/миндалевидная железа в организме x_2 с функцией x_3.\nКак часть лимбической системы ({menbenci'e}, {besrlimbo}), она выполняет главную роль в обработке и памяти эмоциональных реакций. См. {besna}.
anas	cmevla      \nАнна (русское женское имя)
anastasi,as	obsolete cmevla      \nАнастасия (русское женское имя)
andREIS	cmevla      \nАндрей (русское мужское имя)
angeli	fu'ivla      \nx_1 - ангел/ангелы.
angelinas	cmevla      \nАнгелина (русское женское имя)
anste	fu'ivla      \nx_1 отчаялся/чувствует отчаяние/Angst\nТолько одно sumti-место; для выражения &quot;страха из-за чего-либо&quot; используйте {terpa}
anxodi	fu'ivla      \nx_1 - это анод/положительный электрод.\nСм. также {ionti}, {katxodi}
a'o	cmavo   \nUI1      \nмеждометие: надежда - отчаяние\nСм. также {pacna}.
a'oi	experimental cmavo   \nCOI      \nзвательная частица: приветствие в немного пиратской манере\nСлово-{u'ivla} от английского &quot;ahoy&quot;. См. {xai}, {coi}, {co'oi}, {o'ai}.
a'onai	cmavo-compound   \nUI*1      \nмеждометие: надежда - отчаяние\nСм. также {pacna}.
aptci	fu'ivla      \nx_1 производит звук чихания x_2; апчхи!
arda	fu'ivla      \nx_1 - это цапля вида x_2.\nСм. также {cipni}, {nebyplovoicpi}
arinas	cmevla      \nАрина (русское женское имя)
arTIOM	obsolete cmevla      \nАртём (русское мужское имя)
arTUR	cmevla      \nАртур (русское мужское имя)
arxivo	fu'ivla      \nx_1 - это архив, содержащий x_2\nСм. также {sorcu}
arxokuna	fu'ivla      \nx_1 - это енот вида x_2\nСинонимы {prokioni}, {lumge'u}
asna	fu'ivla      \nx_1 - это позиция тела/поза/стойка/асана тела x_2, характеризуемая свойством/(множеством) свойств x_3 (ka).\nСм. se {morna}
atcu	fu'ivla      \nx_1 производит звук чихания x_2; апчхи!
au	cmavo   \nUI1      \nмеждометие: желание - равнодушие - отвращение\nСм. также {djica}.
a'u	cmavo   \nUI1      \nмеждометие: интерес - отсутствие интереса - отвращение\nСм. также {cinri}, {selcni}.
a'ucu'i	cmavo-compound   \nUI*1      \nмеждометие: интерес - отсутствие интереса - отвращение\nСм. также {cinri}, {selcni}.
aucu'i	cmavo-compound   \nUI*1      \nмеждометие: желание - равнодушие - отвращение\nСм. также {djica}.
aufklerunge	fu'ivla      \nx_1 (процесс/концепция) является просвещением в смысле философии x_2
aunai	cmavo-compound   \nUI*1      \nмеждометие: желание - равнодушие - отвращение\nСм. также {djica}.
a'unai	cmavo-compound   \nUI*1      \nмеждометие: интерес - отсутствие интереса - отвращение\nСм. также {cinri}, {selcni}.
ba	cmavo   \nPU      \nотношение/направление временного интервала: будет [selbri]; после [sumti]; по умолчанию - будущее время
ba'a	cmavo   \nUI2      \nмеждометие-свидетельство: я ожидаю - я испытываю - я помню\nСм. также {bavykri}, {lifri}, {morji}.
