a	cmavo   \nA      \nconector lógico entre sumti: o
a'a	cmavo   \nUI1      \nactitudinal: atención - desatención - evasión\nVer también {jundi},  {rivbi}.
a'acu'i	cmavo-compound   \nUI*1      \nactitudinal: atención - desatención - evasión
a'anai	cmavo-compound   \nUI*1      \nactitudinal: atención - desatención - evasión
abniena	obsolete fu'ivla      \nx_1 es guaraní en el aspecto x_2
abu	bu-letteral   \nBY*      \nletra a
a'e	cmavo   \nUI1      \nactitudinal: alerta - agotamiento\nVer también {sanji},  {cikna},  {tatpi}.
a'enai	cmavo-compound   \nUI*1      \nactitudinal: alerta - agotamiento
ai	cmavo   \nUI1      \nactitudinal: intención - indecisión - rechazo/denegación\nVer también {termu'i},  {terzu'e},  {seljdi},  {selcu'a}.
a'i	cmavo   \nUI1      \nactitudinal: esfuerzo - ningún esfuerzo especial - reposo\nVer también {gunka},  {slunandu},  {guksurla},  {troci},  {selprogunka}.
a'icu'i	cmavo-compound   \nUI*1      \nactitudinal: esfuerzo - ningún esfuerzo especial - reposo
aicu'i	cmavo-compound   \nUI*1      \nactitudinal: intención - indecisión - rechazo/denegación
ainai	cmavo-compound   \nUI*1      \nactitudinal: intención - indecisión - rechazo/denegación
a'inai	cmavo-compound   \nUI*1      \nactitudinal: esfuerzo - ningún esfuerzo especial - reposo
aizdo	fu'ivla      \nx_1 es un glasto de la especie/variedad x_2
akmela	fu'ivla      \nx_1 es una hierba de los dientes/paracress de la especie/variedad x_2
alba'aka	fu'ivla      \nx_1 es albahaca de especie/variedad x_2
alfabeta	fu'ivla      \nx_1 es un alfabeto usado para escribir x_2.
alminiu	obsolete fu'ivla      \nx_1 es una cantidad de/contiene/está hecho de aluminio\nVer también {jinme}
altamru	fu'ivla      \nx_1 is a date (fruit or tree) of species/variety x_2
alzaitu	fu'ivla      \nx_1 es una oliva de la especie/variedad x_2
ampigravle	fu'ivla      \nx_1 es un apio
amtisti	fu'ivla      \nx_1 es una cantidad/contiene/está hecha de ametista de la fuente x_2
amxari	fu'ivla      \nx_1 es amárico en el aspecto x_2
angeli	fu'ivla      \nx_1 es un ángel
angila	fu'ivla      \nx_1 es una anguila de especie x_2
anmonia	obsolete fu'ivla      \nx_1 es una cantidad de/contiene/está hecho de amoníaco
ansoptera	fu'ivla      \nx_1 es una libélula de la especie x_2
antilope	fu'ivla      \nx_1 es un antílope (subfamilia Antilopinae) de especie x_2
a'o	cmavo   \nUI1      \nactitudinal: esperanza - desesperación\nVer también {pacna}.
a'onai	cmavo-compound   \nUI*1      \nactitudinal: esperanza - desesperación
a'orne	fu'ivla      \nx_1 es un arce de especie/variedad x_2
arktik	cmevla      \nOcéano Ártico
au	cmavo   \nUI1      \nactitudinal: deseo - indiferencia - rechazo\nVer también {djica}.
a'u	cmavo   \nUI1      \nactitudinal: interés - desinterés - repulsión\nVer también {cinri},  {selcni}.
a'ucu'i	cmavo-compound   \nUI*1      \nactitudinal: interés - desinterés - repulsión
aucu'i	cmavo-compound   \nUI*1      \nactitudinal: deseo - indiferencia - rechazo
aunai	cmavo-compound   \nUI*1      \nactitudinal: deseo - indiferencia - rechazo
a'unai	cmavo-compound   \nUI*1      \nactitudinal: interés - desinterés - repulsión
axlte	fu'ivla      \nx_1 es un ajolote de la especie/raza x_2
ba	cmavo   \nPU      \ndirección/relación de tiempo verbal: será (selbri); después de (sumti); por defecto tiempo futuro
ba'a	cmavo   \nUI2      \nevidencial: anticipación - experiencia - recuerdo\nVer también {bavykri},  {lifri},  {morji}.
ba'acu'i	cmavo-compound   \nUI*2      \nevidencial: anticipación - experiencia - recuerdo
ba'anai	cmavo-compound   \nUI*2      \nevidencial: expectativa - experiencia - recuerdo
baba	cmavo-compound   \nPU*      \ntiempo verbal: irá a ser; (tiempo/modal)
baca'a	cmavo-compound   \nPU*      \ntiempo verbal: realidad futura; aspecto modal
baca'o	cmavo-compound   \nZAhO*      \ntiempo verbal: estará siendo; (tiempo/modal)
bacru	gismu   \n-ba'u-      \nx_1 pronuncia/dice/verbaliza/vocaliza/hace sonido x_2\nVer también {krixa},  {cusku}.
badna	gismu      \nx_1 es una banana/plátano (fruta) de especie/variedad x_2
badri	gismu   \n-dri-      \nx_1 está triste/deprimido/melancólico por x_2 (evento)\nVer también {gleki}.
