ba'a-	barna
bab-	zbabu
bac-	bancu
bad-	bandu
ba'e-	balre
baf-	bakfu
bag-	bargu
ba'i-	banli
bai-	bapli
baj-	bajra
bak-	bakni
bal-	banli
bam-	jbama
ban-	bangu
ba'o-	banro
bap-	bapli
bar-	bartu
bas-	basti
bat-	batci
ba'u-	bacru
bau-	bangu
bav-	balvi
bax-	banxa
baz-	banzu
be'a-	bersa
beb-	bebna
bed-	bende
be'e-	bende
bef-	betfu
beg-	bengo
be'i-	benji
bei-	bevri
bej-	benji
bem-	bemro
ben-	besna
be'o-	bemro
ber-	berti
bes-	bersa
bet-	betri
be'u-	betfu
bev-	bevri
bi'a-	bilma
bic-	bifce
bid-	bindo
bi'e-	brife
bif-	brife
big-	bilga
bi'i-	jbini
bij-	briju
bik-	bikla
bil-	bilni
bim-	bitmu
bin-	jbini
bi'o-	binxo
bir-	birka
bis-	bisli
bit-	birti
bi'u-	bitmu
biv-	bi
bix-	binxo
biz-	bi'i
bla-	blanu
ble-	ruble
bli-	bliku
blo-	bloti
blu-	ciblu
bo'a-	boxna
bo'e-	brode
bof-	boxfo
bog-	bongu
boi-	bolci
bo'i-	botpi
bol-	bolci
bon-	boxna
bo'o-	boxfo
bor-	bo
bot-	botpi
bo'u-	bongu
bra-	barda
bre-	bredi
bri-	bridi
bro-	xebro
bru-	burcu
bu'a-	bruna
bud-	bunda
bu'e-	bunre
bu'i-	bu
buj-	budjo
buk-	bukpu
bul-	bu'a
bum-	bumru
bun-	bruna
bu'o-	budjo
bur-	bunre
bus-	bu
bu'u-	bukpu
ca'a-	cabra
cab-	cabna
cac-	tcaci
cad-	cando
ca'e-	catke
caf-	cafne
cag-	cange
cai-	carmi
ca'i-	catni
caj-	canja
cak-	calku
cal-	canlu
cam-	carmi
can-	canre
ca'o-	canko
cap-	ckape
car-	carna
cas-	ckasu
cat-	cartu
ca'u-	canlu
cau-	claxu
cav-	carvi
cax-	caxno
caz-	ca'a
ce'a-	cecla
cec-	ce
ced-	cerda
cei-	cevni
ce'i-	cteki
cek-	creka
cel-	cecla
cem-	cecmu
cen-	centi
ce'o-	ce'o
cer-	cerni
ces-	censa
ce'u-	cecmu
cev-	cevni
cez-	ce'i
cfa-	cfari
cfi-	cfila
cfu-	ricfu
ci'a-	ciska
cib-	ci
cic-	cilce
cid-	cidni
ci'e-	ciste
cif-	cifnu
cig-	cigla
ci'i-	cinri
cij-	cinje
cik-	cikna
cil-	cilta
cim-	cilmo
cin-	cinse
ci'o-	citno
cip-	cipra
cir-	citri
cis-	crisa
cit-	citno
ci'u-	ckilu
civ-	civla
ciz-	cizra
cka-	ckana
cke-	ckeji
cki-	ciksi
cko-	cokcu
cku-	cukta
cla-	clani
cli-	cilre
clu-	culno
cma-	cmalu
cme-	cmene
cmi-	cmima
cmo-	cmoni
cmu-	jicmu
cna-	canpa
cne-	cenba
cni-	cinmo
cno-	condi
cnu-	macnu
co'a-	co'a
co'e-	co'e
co'i-	cmoni
coi-	condi
col-	co
com-	co'e
con-	condi
cor-	cortu
co'u-	co'u
cpa-	cpacu
cpe-	cpedu
cpi-	cipni
cpu-	lacpu
cra-	crane
cre-	certu
cri-	cirko
cro-	cortu
cru-	curmi
cta-	catlu
cte-	nicte
cti-	citka
cto-	xecto
ctu-	ctuca
cu'a-	cuxna
cuc-	cutci
cu'e-	ckule
cu'i-	cumki
cuk-	cukla
cul-	cumla
cum-	cumki
cun-	cunso
cu'o-	cunso
cup-	clupa
cur-	curnu
cus-	cusku
cut-	cutne
cu'u-	cuntu
cuv-	curve
cux-	cuxna
da'a-	damba
dab-	damba
dac-	dacru
dad-	dandu
da'e-	danre
daf-	danfu
dag-	dargu
dai-	dacti
da'i-	darxi
daj-	dadjo
dak-	dakfu
dal-	danlu
dam-	danmo
dan-	danti
